#{"t_start": 1634650550.8643773, "env_id": "dmc_walker_walk_78906-v1"}
r,l,t
103.460548,1000,42.785972
98.726882,1000,101.960377
107.731897,1000,161.154754
88.706924,1000,220.156183
196.800907,1000,279.107521
211.179752,1000,337.889299
192.155403,1000,397.294906
335.977778,1000,456.490702
348.631668,1000,515.589526
336.664442,1000,574.796625
310.253792,1000,634.143707
354.014594,1000,693.269809
582.205926,1000,752.364238
370.456034,1000,811.523963
575.417704,1000,870.810204
597.245685,1000,930.086357
573.49284,1000,989.208889
607.907982,1000,1047.94837
622.669932,1000,1107.04515
706.992086,1000,1166.314154
723.994307,1000,1225.596338
691.67732,1000,1289.100763
719.860502,1000,1352.692901
812.166307,1000,1411.829242
719.263311,1000,1471.455909
801.444881,1000,1530.557078
801.219348,1000,1589.685106
768.428031,1000,1648.664378
746.285449,1000,1707.905593
779.00268,1000,1767.198079
825.43073,1000,1826.419115
846.939724,1000,1885.567636
861.308803,1000,1944.988258
868.82069,1000,2004.312837
826.460806,1000,2063.324715
905.413387,1000,2122.425643
867.421587,1000,2181.778262
885.867663,1000,2241.238681
910.458361,1000,2300.878119
904.744243,1000,2360.221151
898.516049,1000,2419.622343
871.066375,1000,2478.893359
857.944861,1000,2537.86424
676.983565,1000,2597.333215
907.362723,1000,2656.473202
909.899217,1000,2715.789948
912.124197,1000,2775.141135
941.788137,1000,2833.842228
886.74945,1000,2893.268029
848.174382,1000,2952.487011
903.860762,1000,3011.568205
882.554213,1000,3071.19067
948.948861,1000,3130.566075
905.116642,1000,3190.194764
917.029476,1000,3249.733188
931.355309,1000,3309.14979
946.851159,1000,3368.381755
828.926191,1000,3427.549749
875.086992,1000,3487.034146
925.577527,1000,3546.277171
879.343032,1000,3605.512448
947.723758,1000,3664.979055
905.418067,1000,3724.307659
923.2416,1000,3783.833301
928.019335,1000,3843.437488
889.140661,1000,3902.990953
901.051937,1000,3962.386681
912.714491,1000,4021.86849
818.842194,1000,4081.036051
924.539068,1000,4139.983805
853.501524,1000,4199.374837
856.867494,1000,4258.67502
920.807545,1000,4318.19138
836.471198,1000,4377.770328
959.132071,1000,4437.454637
892.55105,1000,4496.991255
887.002934,1000,4556.600911
782.449546,1000,4616.108202
786.744695,1000,4675.407124
826.626666,1000,4734.815968
772.723141,1000,4794.114357
913.588465,1000,4853.67579
907.659706,1000,4912.744582
882.575809,1000,4972.236411
896.424778,1000,5031.537245
933.615181,1000,5090.74046
886.428942,1000,5150.184493
921.22866,1000,5209.727942
904.732242,1000,5268.8974
784.654611,1000,5328.097214
943.371986,1000,5387.465009
954.940011,1000,5446.455822
860.404939,1000,5505.751225
898.014014,1000,5564.771132
914.920416,1000,5624.205237
879.55114,1000,5683.665732
935.979366,1000,5742.816078
844.602121,1000,5802.129611
938.20834,1000,5861.605855
903.677856,1000,5920.900118
929.922445,1000,5980.000356
912.941295,1000,6039.388128
966.795032,1000,6098.995141
935.975455,1000,6158.279807
947.934002,1000,6217.43377
729.598434,1000,6276.696059
890.583778,1000,6335.781603
890.450963,1000,6395.219746
831.757044,1000,6454.520437
909.705119,1000,6513.920704
891.20424,1000,6572.852327
682.95799,1000,6632.035582
904.683229,1000,6691.334877
949.024141,1000,6750.367117
890.95233,1000,6810.052474
894.177113,1000,6869.211407
965.606527,1000,6928.194485
937.5279,1000,6987.436872
775.477617,1000,7046.86355
730.33192,1000,7106.079425
948.321712,1000,7165.718257
913.707527,1000,7225.173613
934.944939,1000,7284.563807
918.931018,1000,7343.926592
857.172046,1000,7402.978684
