#{"t_start": 1634650551.455088, "env_id": "dmc_walker_walk_78911-v1"}
r,l,t
116.4167,1000,42.201077
92.074683,1000,101.375507
93.504071,1000,160.570189
129.624363,1000,219.571288
191.945272,1000,278.522616
204.264674,1000,337.304534
264.977452,1000,396.710235
270.521451,1000,455.906104
377.883977,1000,515.004725
366.316393,1000,574.211808
440.829549,1000,633.559119
438.643252,1000,692.685012
542.441121,1000,751.77951
576.766077,1000,810.939106
565.207293,1000,870.225346
505.170349,1000,929.501587
630.630443,1000,988.624095
654.933592,1000,1047.363705
650.675287,1000,1106.460283
702.053919,1000,1165.729483
727.797494,1000,1225.011535
634.919757,1000,1288.521781
677.463993,1000,1352.108152
670.735386,1000,1411.244332
749.179537,1000,1470.871072
736.871465,1000,1529.972337
805.879601,1000,1589.10025
822.370708,1000,1648.079865
818.956672,1000,1707.320806
715.639529,1000,1766.613362
879.172668,1000,1825.834516
848.387137,1000,1884.982881
876.748235,1000,1944.403505
899.084587,1000,2003.728103
894.309736,1000,2062.739889
913.972855,1000,2121.840972
878.059696,1000,2181.193545
935.441162,1000,2240.653909
895.009056,1000,2300.293527
882.523651,1000,2359.636433
971.057969,1000,2419.03778
877.160402,1000,2478.308744
925.346698,1000,2537.279528
912.32456,1000,2596.748416
835.110257,1000,2655.888388
917.738552,1000,2715.205264
896.481658,1000,2774.556461
945.42555,1000,2833.257607
899.636913,1000,2892.683459
786.151563,1000,2951.902373
917.849836,1000,3010.983387
926.422086,1000,3070.605997
911.110469,1000,3129.981588
841.144285,1000,3189.610132
888.921757,1000,3249.148556
912.925813,1000,3308.565266
828.934045,1000,3367.797155
923.635032,1000,3426.965043
907.350754,1000,3486.449572
933.891613,1000,3545.692679
924.669679,1000,3604.927821
758.365272,1000,3664.394481
912.899433,1000,3723.722963
865.741316,1000,3783.248828
914.874779,1000,3842.852718
849.736956,1000,3902.406279
965.192977,1000,3961.802115
946.506859,1000,4021.283837
953.244822,1000,4080.451308
919.500726,1000,4139.399034
792.25189,1000,4198.790374
920.326844,1000,4258.090469
952.594372,1000,4317.606724
908.753102,1000,4377.185767
910.654752,1000,4436.870142
801.335099,1000,4496.406826
935.453465,1000,4556.016166
909.529626,1000,4615.523593
801.063432,1000,4674.822347
863.788216,1000,4734.23139
936.475861,1000,4793.529928
895.740023,1000,4853.091162
906.06324,1000,4912.159806
965.559532,1000,4971.651747
868.689281,1000,5030.952777
919.913516,1000,5090.155785
787.095225,1000,5149.599921
951.620728,1000,5209.143243
910.212561,1000,5268.312768
934.645599,1000,5327.512551
906.305811,1000,5386.880347
719.299115,1000,5445.870969
877.111851,1000,5505.166421
867.957144,1000,5564.186652
955.551835,1000,5623.620548
832.506935,1000,5683.081177
915.24228,1000,5742.231727
908.034737,1000,5801.545116
758.818195,1000,5861.02121
939.613964,1000,5920.315383
937.471595,1000,5979.415773
896.144716,1000,6038.803474
902.598961,1000,6098.410575
932.599616,1000,6157.695285
928.882718,1000,6216.849014
933.778038,1000,6276.111352
965.327966,1000,6335.196953
962.826809,1000,6394.635092
885.764404,1000,6453.935925
952.535496,1000,6513.335881
850.828174,1000,6572.267636
950.239867,1000,6631.450952
962.477967,1000,6690.750284
822.072757,1000,6749.782399
908.700959,1000,6809.467944
926.271987,1000,6868.626736
933.670756,1000,6927.609997
965.18324,1000,6986.852305
897.488561,1000,7046.27885
926.793381,1000,7105.495001
781.624001,1000,7165.133734
953.999792,1000,7224.58896
916.367431,1000,7283.979277
909.48233,1000,7343.341919
809.442739,1000,7402.394101
