#{"t_start": 1634643110.7467458, "env_id": "dmc_walker_walk_67915-v1"}
r,l,t
48.980234,1000,39.64002
72.500578,1000,99.068178
115.141896,1000,158.133214
226.689885,1000,217.669556
191.311374,1000,277.11588
282.77839,1000,336.744248
247.446683,1000,396.224408
271.281947,1000,455.517652
324.165669,1000,515.012891
370.618996,1000,574.139226
390.700582,1000,633.767756
424.750892,1000,693.154318
468.580525,1000,752.745337
438.042597,1000,812.22125
578.839994,1000,871.695261
562.977743,1000,930.85094
624.528238,1000,990.055954
676.931217,1000,1049.687768
691.20127,1000,1109.381485
738.058838,1000,1169.082722
636.54081,1000,1228.391045
669.853437,1000,1287.728555
779.652444,1000,1347.061729
742.504083,1000,1406.504059
749.784806,1000,1466.02468
668.796213,1000,1525.421043
768.524499,1000,1585.028793
703.958548,1000,1644.449288
835.963704,1000,1703.783738
844.33081,1000,1763.386872
847.831831,1000,1822.96988
876.776621,1000,1882.194291
866.307975,1000,1941.464784
767.260343,1000,2001.053618
767.221507,1000,2060.814448
810.731671,1000,2120.443043
797.448637,1000,2180.059438
831.868321,1000,2239.529883
897.03517,1000,2299.391205
920.26753,1000,2358.776036
883.589803,1000,2418.21953
869.070691,1000,2477.725206
918.717178,1000,2537.376492
946.419319,1000,2596.784327
901.415212,1000,2656.246781
956.816982,1000,2715.479194
880.258486,1000,2774.75197
784.879802,1000,2834.098446
891.584543,1000,2893.824934
810.976571,1000,2953.545238
747.914083,1000,3012.950866
906.53068,1000,3072.762954
916.788035,1000,3132.366267
943.594178,1000,3191.898024
931.861935,1000,3251.461959
826.582196,1000,3311.189218
844.079569,1000,3370.448895
903.824318,1000,3430.310572
949.020679,1000,3489.715235
925.930608,1000,3549.081724
958.611842,1000,3608.800444
918.64206,1000,3668.294906
910.408794,1000,3727.712345
920.377009,1000,3787.249313
909.233418,1000,3846.915242
935.014165,1000,3906.590177
819.312315,1000,3966.099828
931.436144,1000,4025.535197
925.161716,1000,4085.007329
895.902296,1000,4144.50287
884.380985,1000,4203.742396
920.662379,1000,4263.032348
957.301831,1000,4322.345498
887.818674,1000,4381.905174
912.747285,1000,4441.792304
812.36037,1000,4501.341065
963.148944,1000,4561.052083
805.52428,1000,4620.316743
931.957728,1000,4679.672678
831.722939,1000,4739.415387
941.305275,1000,4798.998111
959.385438,1000,4858.68117
890.118166,1000,4918.208721
829.187732,1000,4977.367136
939.290472,1000,5037.225974
895.234217,1000,5096.615392
932.405364,1000,5156.40217
959.049028,1000,5216.174853
917.121733,1000,5275.492241
882.347166,1000,5335.055558
837.693663,1000,5394.40672
962.639238,1000,5453.73718
908.971934,1000,5513.096114
885.298799,1000,5572.701707
858.189874,1000,5632.012989
886.45286,1000,5691.673497
910.65126,1000,5751.098054
929.104916,1000,5810.561426
891.609353,1000,5870.180933
841.137585,1000,5929.91349
890.324532,1000,5989.173461
921.275684,1000,6048.320093
940.375326,1000,6107.575388
943.317047,1000,6167.100479
895.842037,1000,6226.661883
941.166273,1000,6286.054457
923.013772,1000,6345.730005
925.772512,1000,6405.410486
894.338083,1000,6464.528875
936.117323,1000,6523.723122
865.482144,1000,6583.257834
832.006471,1000,6642.631151
932.517569,1000,6702.454559
897.017092,1000,6761.992914
908.012002,1000,6821.447867
788.597087,1000,6880.870651
870.884331,1000,6940.336771
762.924248,1000,6999.999504
813.382389,1000,7059.713775
859.95945,1000,7119.740363
908.812468,1000,7179.297957
906.133464,1000,7238.845953
896.555236,1000,7298.585284
865.847823,1000,7357.854561
883.362468,1000,7417.382957
