#{"t_start": 1634643109.7749035, "env_id": "dmc_walker_walk_67907-v1"}
r,l,t
92.022853,1000,40.602494
75.651627,1000,100.030838
91.072034,1000,159.095719
77.35494,1000,218.632073
174.043224,1000,278.07837
187.548463,1000,337.706647
292.301074,1000,397.186816
270.617194,1000,456.479897
297.964834,1000,515.975295
336.100365,1000,575.101782
447.204046,1000,634.729939
428.37827,1000,694.116508
543.542534,1000,753.707725
492.62317,1000,813.183486
602.339659,1000,872.657723
603.082063,1000,931.813494
618.68909,1000,991.0185
698.163591,1000,1050.649929
739.416238,1000,1110.3438
662.444375,1000,1170.0451
712.75623,1000,1229.353484
760.533117,1000,1288.690982
712.846061,1000,1348.024093
769.944738,1000,1407.466423
765.264013,1000,1466.986975
785.494093,1000,1526.383538
772.668317,1000,1585.991182
864.896125,1000,1645.411632
775.869019,1000,1704.746236
746.977486,1000,1764.349071
857.977241,1000,1823.932158
915.489175,1000,1883.156693
789.38798,1000,1942.426973
864.521215,1000,2002.016032
874.756593,1000,2061.776574
890.874847,1000,2121.405397
898.438359,1000,2181.021835
864.788833,1000,2240.492162
890.075518,1000,2300.353432
883.683838,1000,2359.738226
851.378127,1000,2419.181948
926.167374,1000,2478.687443
842.772827,1000,2538.338807
952.150163,1000,2597.74662
861.717686,1000,2657.208959
841.156859,1000,2716.441539
852.422121,1000,2775.714301
894.556961,1000,2835.060481
918.970747,1000,2894.787169
851.66432,1000,2954.507375
902.066392,1000,3013.913132
788.531534,1000,3073.724765
873.378405,1000,3133.328371
897.603676,1000,3192.860279
881.974793,1000,3252.424307
860.203928,1000,3312.151303
857.100868,1000,3371.411062
917.526361,1000,3431.272856
950.468781,1000,3490.677455
875.024925,1000,3550.043901
896.796347,1000,3609.762744
846.188741,1000,3669.257188
901.096473,1000,3728.674652
909.495822,1000,3788.211395
938.848134,1000,3847.877443
854.662646,1000,3907.552423
925.054242,1000,3967.061953
928.884441,1000,4026.497348
907.346936,1000,4085.969595
870.554358,1000,4145.465169
897.398222,1000,4204.704496
907.16829,1000,4263.99461
838.852371,1000,4323.307881
883.191003,1000,4382.867108
880.123056,1000,4442.754336
951.643698,1000,4502.303321
932.048888,1000,4562.014276
82.694495,1000,4621.278966
926.326706,1000,4680.634821
966.53944,1000,4740.377538
947.829985,1000,4799.960219
958.197641,1000,4859.643279
913.005176,1000,4919.170948
952.903775,1000,4978.329389
918.827554,1000,5038.187964
948.035102,1000,5097.577607
910.767947,1000,5157.364378
933.641748,1000,5217.137012
942.278026,1000,5276.454541
884.653673,1000,5336.017719
946.586492,1000,5395.36897
912.620121,1000,5454.69924
891.371581,1000,5514.058348
841.833569,1000,5573.6638
890.073518,1000,5632.975118
962.308261,1000,5692.635686
810.828549,1000,5752.060258
874.30903,1000,5811.523755
757.223808,1000,5871.142966
807.033611,1000,5930.875587
883.688535,1000,5990.135674
923.457961,1000,6049.282131
930.336688,1000,6108.537688
919.361117,1000,6168.062633
956.091843,1000,6227.62396
924.02472,1000,6287.016734
880.196333,1000,6346.691493
910.137303,1000,6406.372625
724.725953,1000,6465.491041
827.063535,1000,6524.685236
890.509184,1000,6584.219845
909.00619,1000,6643.593476
835.374626,1000,6703.41662
925.737264,1000,6762.955081
869.952623,1000,6822.410105
861.220412,1000,6881.832774
929.707787,1000,6941.298814
969.652767,1000,7000.961768
910.523314,1000,7060.675827
925.000297,1000,7120.702515
917.047678,1000,7180.260149
957.395412,1000,7239.807891
911.367524,1000,7299.547503
933.603352,1000,7358.816829
861.208401,1000,7418.345076
