#{"t_start": 1635795744.4007277, "env_id": "dmc_walker_walk_51261-v1"}
r,l,t
70.908303,1000,430.297012
86.639042,1000,1002.503398
68.038385,1000,1344.684518
128.565088,1000,1698.355311
167.205225,1000,2040.770046
188.802462,1000,2391.058071
272.859572,1000,2744.986025
193.146466,1000,3095.744606
335.519931,1000,3457.29406
253.090627,1000,3818.691125
317.900835,1000,4173.856028
294.019579,1000,4519.885806
467.205485,1000,4857.180389
401.235744,1000,5199.09814
445.333158,1000,5551.689348
352.514468,1000,5888.943425
390.584151,1000,6233.658824
445.379459,1000,6571.447729
460.208652,1000,6913.855136
489.03633,1000,7265.584198
458.586103,1000,7602.849544
