#{"t_start": 1635795743.5329242, "env_id": "dmc_walker_walk_51255-v1"}
r,l,t
88.174427,1000,431.156407
70.883295,1000,1003.363173
86.471171,1000,1345.544084
80.006867,1000,1699.215065
155.140826,1000,2041.629602
140.681882,1000,2391.917116
239.191792,1000,2745.845725
119.095523,1000,3096.604423
291.698058,1000,3458.153222
320.304048,1000,3819.550416
352.195966,1000,4174.715302
329.437504,1000,4520.745461
464.101223,1000,4858.039785
378.395359,1000,5199.954382
405.800076,1000,5552.549263
422.674566,1000,5889.803044
431.384483,1000,6234.518302
516.10921,1000,6572.307533
472.907931,1000,6914.714537
447.631721,1000,7266.443676
