#{"t_start": 1635795742.9794922, "env_id": "dmc_walker_walk_51251-v1"}
r,l,t
64.147248,1000,431.704216
130.81325,1000,1003.911238
72.173456,1000,1346.092088
158.5126,1000,1699.763079
204.681109,1000,2042.177597
211.416518,1000,2392.465026
201.671068,1000,2746.393897
309.915827,1000,3097.152379
285.271242,1000,3458.700598
194.447692,1000,3820.098263
347.844521,1000,4175.26332
338.390574,1000,4521.293445
420.146085,1000,4858.587835
450.09755,1000,5200.500172
456.857714,1000,5553.097328
467.318523,1000,5890.350878
447.099703,1000,6235.06617
504.116048,1000,6572.855569
498.906964,1000,6915.262423
501.985619,1000,7266.991467
500.064875,1000,7604.257534
