#{"t_start": 1635795741.748777, "env_id": "dmc_walker_walk_51242-v1"}
r,l,t
77.185484,1000,432.922333
57.706438,1000,1005.129274
125.731547,1000,1347.310653
175.81361,1000,1700.980765
214.942303,1000,2043.396108
173.604256,1000,2393.682528
226.117116,1000,2747.612548
194.781053,1000,3098.370899
299.746693,1000,3459.91867
356.336795,1000,3821.316014
294.534859,1000,4176.481582
342.35909,1000,4522.512025
388.95469,1000,4859.806499
440.181961,1000,5201.717193
462.236451,1000,5554.315966
443.310962,1000,5891.569177
397.500878,1000,6236.284058
395.77942,1000,6574.074038
479.587225,1000,6916.480752
469.818913,1000,7268.209724
435.173958,1000,7605.476511
