#{"t_start": 1635795741.06242, "env_id": "dmc_walker_walk_51237-v1"}
r,l,t
112.544116,1000,433.601621
121.443058,1000,1005.809007
132.69167,1000,1347.990324
90.52276,1000,1701.660547
130.530461,1000,2044.075867
215.768611,1000,2394.361858
216.029047,1000,2748.291559
270.371466,1000,3099.050496
329.597848,1000,3460.597445
308.752662,1000,3821.99561
360.618667,1000,4177.160789
344.237361,1000,4523.191702
398.160682,1000,4860.485287
448.195664,1000,5202.396546
451.922878,1000,5554.994832
344.310429,1000,5892.248649
475.962945,1000,6236.962835
449.803979,1000,6574.753582
412.552811,1000,6917.15995
506.542658,1000,7268.889131
479.652068,1000,7606.156144
393.538724,1000,7952.11079
464.515577,1000,8292.644655
469.301031,1000,8634.711343
532.073036,1000,8984.398527
