#{"t_start": 1635795744.262968, "env_id": "dmc_walker_walk_51260-v1"}
r,l,t
73.514046,1000,430.433432
79.392163,1000,1002.639828
93.830471,1000,1344.820853
129.435875,1000,1698.49174
178.3187,1000,2040.906288
174.621945,1000,2391.194421
155.14525,1000,2745.122284
229.354776,1000,3095.881031
324.174693,1000,3457.43036
299.549668,1000,3818.82758
350.81804,1000,4173.992439
477.976676,1000,4520.022205
426.827753,1000,4857.316461
413.64644,1000,5199.233929
428.727143,1000,5551.825811
490.658234,1000,5889.079839
435.8158,1000,6233.795222
512.481753,1000,6571.584142
502.216189,1000,6913.99144
537.12067,1000,7265.720567
