#{"t_start": 1634665386.8987334, "env_id": "dmc_walker_walk_90701-v1"}
r,l,t
49.047028,1000,39.709904
186.688299,1000,98.790419
77.40337,1000,157.994948
140.691638,1000,217.273018
141.424556,1000,275.993215
150.326006,1000,335.074937
184.999844,1000,393.963269
217.861624,1000,453.103281
362.565508,1000,512.0832
339.89493,1000,571.093174
344.882376,1000,630.267476
350.95235,1000,689.53089
381.62907,1000,748.616347
534.684555,1000,807.514166
383.262878,1000,866.200693
544.468365,1000,924.779117
594.896014,1000,983.570175
637.353849,1000,1042.44205
593.042146,1000,1101.520799
643.173991,1000,1160.144924
618.059197,1000,1219.234794
630.976857,1000,1278.62682
747.52978,1000,1337.889942
715.400798,1000,1397.195662
599.120714,1000,1456.591747
698.098373,1000,1515.710794
712.294253,1000,1574.811394
578.037809,1000,1633.990704
756.926506,1000,1693.319732
789.2761,1000,1752.631461
818.408627,1000,1811.584578
722.878996,1000,1870.745135
818.98655,1000,1929.927158
866.582681,1000,1988.859862
714.701715,1000,2047.852549
861.46827,1000,2106.988383
885.106271,1000,2166.004776
861.237396,1000,2225.522597
930.120361,1000,2284.656513
749.460682,1000,2343.898062
882.117818,1000,2402.954791
785.924006,1000,2461.882503
893.02512,1000,2521.321588
769.847203,1000,2580.727956
670.852029,1000,2640.093408
748.622706,1000,2699.47109
873.015174,1000,2758.573744
850.142797,1000,2817.866388
893.422237,1000,2877.264212
892.644382,1000,2936.652334
900.766355,1000,2995.99475
824.521396,1000,3055.014911
835.35192,1000,3114.332707
902.348085,1000,3173.575329
857.852214,1000,3232.539423
890.661913,1000,3291.554148
799.047283,1000,3350.881911
830.597323,1000,3410.37959
926.631192,1000,3469.800229
826.730344,1000,3529.38168
859.274318,1000,3588.747772
895.307464,1000,3647.824927
890.648163,1000,3707.504889
882.536062,1000,3767.077111
947.502404,1000,3826.216749
808.48544,1000,3885.495653
852.424779,1000,3944.872253
881.025428,1000,4003.905105
913.790418,1000,4063.112042
964.098872,1000,4122.511843
788.952831,1000,4181.705837
945.969638,1000,4241.206524
844.037895,1000,4300.653751
885.740955,1000,4359.917902
917.342885,1000,4419.347161
921.585789,1000,4478.426932
806.893399,1000,4537.462198
874.94786,1000,4597.004634
802.926978,1000,4656.51756
912.452208,1000,4715.642394
805.079084,1000,4774.981719
904.921831,1000,4834.45604
802.865335,1000,4894.026379
840.358286,1000,4953.331127
943.963291,1000,5012.550876
799.351234,1000,5071.547592
883.269075,1000,5130.828202
904.796767,1000,5189.92229
838.328214,1000,5249.161896
874.157885,1000,5308.081148
887.154232,1000,5367.182035
975.806784,1000,5426.519434
873.898105,1000,5485.96242
847.254516,1000,5545.275855
838.305424,1000,5604.767642
904.304331,1000,5663.723901
841.581338,1000,5722.966064
933.041342,1000,5782.425344
932.953381,1000,5841.487387
922.710359,1000,5900.625072
870.570035,1000,5959.679596
910.621878,1000,6019.26333
899.215051,1000,6078.300847
933.797753,1000,6137.603791
934.675709,1000,6196.686882
762.775047,1000,6255.847602
835.984888,1000,6315.332239
864.015442,1000,6374.414592
808.695557,1000,6433.71761
788.873712,1000,6493.203657
845.547373,1000,6552.413399
920.395745,1000,6611.966918
809.484494,1000,6671.450052
875.738553,1000,6730.361008
836.06015,1000,6789.298474
859.496472,1000,6848.597084
862.189545,1000,6907.847326
841.949838,1000,6967.328907
788.892843,1000,7026.462472
897.535479,1000,7085.53322
957.773772,1000,7144.964159
942.475837,1000,7204.577811
844.199246,1000,7263.882299
952.903306,1000,7322.894184
893.891034,1000,7382.40243
