#{"t_start": 1634665387.0149984, "env_id": "dmc_walker_walk_90702-v1"}
r,l,t
72.293248,1000,39.594903
108.705548,1000,98.675322
129.492424,1000,157.879891
105.478463,1000,217.157957
91.498187,1000,275.878072
278.36184,1000,334.959879
212.493321,1000,393.848114
277.732736,1000,452.988135
307.52401,1000,511.968084
286.556459,1000,570.978024
384.082461,1000,630.152418
363.809667,1000,689.415794
487.038618,1000,748.501277
531.298663,1000,807.399043
513.208175,1000,866.085631
484.361261,1000,924.663984
556.162869,1000,983.45505
696.018543,1000,1042.326954
592.597857,1000,1101.405719
739.328803,1000,1160.029844
655.87055,1000,1219.11967
755.288058,1000,1278.511682
735.710648,1000,1337.774805
670.291152,1000,1397.080543
761.994811,1000,1456.476637
635.885682,1000,1515.595689
853.636218,1000,1574.696308
689.672568,1000,1633.875582
869.233327,1000,1693.204613
789.492709,1000,1752.516361
748.567575,1000,1811.469523
833.663342,1000,1870.63001
808.771078,1000,1929.812056
860.617994,1000,1988.74477
682.102475,1000,2047.737457
866.491507,1000,2106.873283
779.965181,1000,2165.889759
947.057719,1000,2225.407516
884.094122,1000,2284.541459
940.293428,1000,2343.782957
837.195205,1000,2402.8397
860.029601,1000,2461.767392
906.049707,1000,2521.20652
910.647463,1000,2580.612899
925.83436,1000,2639.978315
828.848578,1000,2699.356004
863.228941,1000,2758.458672
791.134012,1000,2817.751381
840.448584,1000,2877.14921
874.17269,1000,2936.537313
826.182962,1000,2995.879629
684.976088,1000,3054.899786
688.333996,1000,3114.217709
925.922092,1000,3173.46026
915.546462,1000,3232.424319
861.719075,1000,3291.4391
781.650024,1000,3350.766803
893.821534,1000,3410.264499
832.108073,1000,3469.685201
824.818491,1000,3529.266595
849.084277,1000,3588.632653
907.69917,1000,3647.709908
860.142365,1000,3707.389874
914.181893,1000,3766.962093
892.711694,1000,3826.101685
867.219326,1000,3885.380595
804.994056,1000,3944.757214
895.265082,1000,4003.789988
857.45322,1000,4062.997042
843.267707,1000,4122.396819
886.446544,1000,4181.590744
876.394871,1000,4241.091417
837.685892,1000,4300.538662
817.525477,1000,4359.80279
726.684111,1000,4419.232048
898.575334,1000,4478.311832
852.763949,1000,4537.34711
793.920287,1000,4596.889606
885.579521,1000,4656.402503
904.051047,1000,4715.527264
773.217435,1000,4774.866617
865.207894,1000,4834.34095
818.641579,1000,4893.911311
823.145752,1000,4953.216022
798.721318,1000,5012.435756
917.603985,1000,5071.432501
911.811658,1000,5130.713142
739.24704,1000,5189.807196
881.092369,1000,5249.046793
822.842153,1000,5307.96606
934.427615,1000,5367.066925
941.039962,1000,5426.404369
864.638899,1000,5485.847325
828.339526,1000,5545.160764
764.439635,1000,5604.652625
827.932896,1000,5663.608923
915.923824,1000,5722.85094
944.961127,1000,5782.31027
919.64197,1000,5841.37226
883.438024,1000,5900.51003
881.238082,1000,5959.564552
866.342204,1000,6019.148239
882.446361,1000,6078.185795
864.271728,1000,6137.488769
865.825485,1000,6196.571786
800.501103,1000,6255.732495
907.492082,1000,6315.217196
893.025991,1000,6374.29953
974.289407,1000,6433.602601
940.009741,1000,6493.08862
890.342537,1000,6552.298357
894.666681,1000,6611.851825
882.731271,1000,6671.33496
877.63681,1000,6730.245915
869.19929,1000,6789.183366
919.39487,1000,6848.481998
861.250202,1000,6907.732288
924.02487,1000,6967.21388
790.059731,1000,7026.34736
954.201444,1000,7085.418169
916.027143,1000,7144.849145
931.868318,1000,7204.462733
805.287187,1000,7263.767194
930.88599,1000,7322.779106
830.764716,1000,7382.2874
