#{"t_start": 1634665385.3686266, "env_id": "dmc_walker_walk_90688-v1"}
r,l,t
124.217946,1000,41.224828
82.991527,1000,100.305358
127.599425,1000,159.509887
108.064504,1000,218.787905
220.920519,1000,277.508334
163.476541,1000,336.589736
191.560544,1000,395.478381
271.764782,1000,454.617693
204.887251,1000,513.598055
291.273275,1000,572.608338
382.742448,1000,631.782309
359.104118,1000,691.04549
412.310181,1000,750.131245
530.222948,1000,809.028796
477.62915,1000,867.715757
516.361446,1000,926.293592
575.10915,1000,985.085031
669.109937,1000,1043.956491
638.968291,1000,1103.035821
529.891893,1000,1161.659963
727.925044,1000,1220.749593
667.092447,1000,1280.141378
596.903587,1000,1339.404922
703.791643,1000,1398.710192
640.378683,1000,1458.106478
825.924589,1000,1517.225445
773.669268,1000,1576.325841
582.545313,1000,1635.505213
867.232456,1000,1694.834642
778.460772,1000,1754.146138
789.020504,1000,1813.099454
766.317059,1000,1872.259689
848.14011,1000,1931.441812
781.567994,1000,1990.37472
866.397778,1000,2049.367482
801.964701,1000,2108.503226
893.567495,1000,2167.519672
852.448495,1000,2227.037129
893.168262,1000,2286.171289
844.920801,1000,2345.412744
821.5381,1000,2404.469266
857.465554,1000,2463.39724
838.469672,1000,2522.835689
850.312693,1000,2582.242309
880.448047,1000,2641.607908
849.787537,1000,2700.972709
877.621606,1000,2760.088341
909.355077,1000,2819.379077
883.765625,1000,2878.778347
583.131865,1000,2938.166718
925.653679,1000,2997.509247
828.194368,1000,3056.529552
791.664032,1000,3115.846999
912.796451,1000,3175.089731
934.57842,1000,3234.054277
844.711706,1000,3293.068554
877.608422,1000,3352.396538
892.502941,1000,3411.894146
790.50931,1000,3471.314474
896.967039,1000,3530.896056
892.284936,1000,3590.262246
839.463032,1000,3649.33908
877.040578,1000,3709.019383
930.395266,1000,3768.591276
850.116533,1000,3827.731539
865.382671,1000,3887.010119
799.473911,1000,3946.386765
881.332497,1000,4005.419774
870.947271,1000,4064.626617
841.907669,1000,4124.026371
865.995613,1000,4183.220686
918.866521,1000,4242.721011
821.021223,1000,4302.168078
914.912377,1000,4361.431719
891.620511,1000,4420.861809
787.237983,1000,4479.94154
891.999712,1000,4538.976792
973.684434,1000,4598.519185
889.681037,1000,4658.031908
928.560392,1000,4717.157178
872.551934,1000,4776.496045
928.240985,1000,4835.970776
926.36976,1000,4895.540663
939.502569,1000,4954.845649
882.632496,1000,5014.065338
909.420026,1000,5073.062228
863.711089,1000,5132.342823
762.586563,1000,5191.436941
857.416516,1000,5250.676235
725.27133,1000,5309.595764
835.436644,1000,5368.696513
897.197427,1000,5428.033713
863.531082,1000,5487.476959
930.133766,1000,5546.790429
787.794844,1000,5606.281779
929.987088,1000,5665.238348
913.232288,1000,5724.481013
803.781388,1000,5783.939612
803.370942,1000,5843.002017
942.503787,1000,5902.139621
937.480159,1000,5961.19435
876.353559,1000,6020.777824
928.343333,1000,6079.815621
900.718199,1000,6139.118318
893.559668,1000,6198.201692
866.844061,1000,6257.3617
832.926099,1000,6316.84673
845.147472,1000,6375.929179
892.151817,1000,6435.232237
860.158904,1000,6494.718509
886.846743,1000,6553.928001
920.438431,1000,6613.481241
883.037134,1000,6672.964287
801.972048,1000,6731.875677
932.931817,1000,6790.813159
859.251141,1000,6850.111582
903.016086,1000,6909.361668
890.655944,1000,6968.8435
872.810137,1000,7027.977185
878.77189,1000,7087.047516
896.996625,1000,7146.478563
740.118274,1000,7206.092177
897.068604,1000,7265.396868
748.940077,1000,7324.409086
918.025322,1000,7383.916471
