#{"t_start": 1634605942.131986, "env_id": "dmc_walker_walk_12356-v1"}
r,l,t
39.911289,1000,42.57409
81.756186,1000,102.57185
103.982894,1000,162.419388
101.140392,1000,222.408129
151.715023,1000,282.142912
170.947405,1000,342.276809
212.754611,1000,402.36525
220.123377,1000,462.300937
244.180312,1000,522.356169
312.788462,1000,581.93332
483.213261,1000,641.674787
321.63034,1000,701.365574
475.926636,1000,761.59612
524.380016,1000,821.522961
515.084504,1000,881.314228
519.824543,1000,940.876823
608.566634,1000,1000.58227
735.304895,1000,1060.132376
615.911864,1000,1119.962825
723.181399,1000,1179.576357
680.953663,1000,1239.545394
716.967924,1000,1299.424192
729.231878,1000,1359.316437
793.090462,1000,1419.140913
715.226311,1000,1479.174489
807.274773,1000,1539.070961
789.932412,1000,1598.953485
869.576556,1000,1658.777169
863.669783,1000,1718.826646
834.223615,1000,1778.636628
824.387956,1000,1838.366467
806.82251,1000,1898.298666
804.385365,1000,1958.118884
790.471038,1000,2018.25823
933.875967,1000,2078.39187
822.92135,1000,2138.272107
834.696843,1000,2198.016861
768.300912,1000,2257.906253
875.208361,1000,2317.564204
852.597157,1000,2377.208709
818.391761,1000,2437.389635
761.151084,1000,2497.145981
916.598586,1000,2557.206127
846.608776,1000,2617.158071
858.266097,1000,2677.223395
835.444819,1000,2736.83032
840.485761,1000,2796.511911
862.583282,1000,2856.477621
932.855053,1000,2916.308976
910.716888,1000,2975.885866
930.053042,1000,3035.781964
912.321344,1000,3095.438708
885.587239,1000,3155.445834
872.8951,1000,3215.439167
872.024351,1000,3275.082287
847.96281,1000,3335.119997
917.499451,1000,3395.162221
857.353204,1000,3455.058991
937.96019,1000,3515.121411
900.430487,1000,3574.950215
897.604925,1000,3634.781881
909.446139,1000,3694.934638
877.329477,1000,3754.743544
959.999421,1000,3814.722163
879.759004,1000,3874.763377
924.821102,1000,3934.463848
911.93607,1000,3994.353029
955.826177,1000,4053.983818
939.728848,1000,4114.08736
853.021331,1000,4173.988399
860.612373,1000,4234.151618
768.075208,1000,4294.080554
878.56403,1000,4354.280561
958.686966,1000,4413.933575
925.212293,1000,4473.990625
946.004213,1000,4534.226072
900.910013,1000,4594.236292
872.101633,1000,4654.145584
918.698927,1000,4713.824616
878.118416,1000,4773.434909
943.899501,1000,4833.428409
928.069816,1000,4893.414985
869.163355,1000,4953.552296
974.35384,1000,5013.510694
905.711484,1000,5073.710238
936.840032,1000,5133.485596
892.013223,1000,5193.42528
894.479737,1000,5253.468206
911.310423,1000,5313.588148
895.471359,1000,5373.462401
813.091356,1000,5433.491975
928.574644,1000,5493.651894
863.718308,1000,5553.462055
835.05924,1000,5613.74548
909.227301,1000,5673.690092
846.841357,1000,5733.70393
947.275616,1000,5793.334976
896.563662,1000,5852.938085
869.86275,1000,5912.612236
826.824,1000,5972.309949
956.021909,1000,6031.941301
897.095224,1000,6092.129821
915.342813,1000,6152.273155
880.724906,1000,6212.126262
852.668455,1000,6272.317573
960.176235,1000,6332.273083
861.091741,1000,6392.104358
912.325391,1000,6452.079169
883.657608,1000,6511.867136
921.260042,1000,6571.784203
811.223488,1000,6631.641609
969.497796,1000,6691.236168
900.337006,1000,6751.150455
944.053879,1000,6810.965179
884.627961,1000,6871.13453
947.800573,1000,6930.87983
777.274079,1000,6990.976995
918.614716,1000,7051.044586
946.345682,1000,7111.327645
914.399677,1000,7171.023127
880.48892,1000,7230.629921
938.643523,1000,7290.292711
871.629792,1000,7350.262309
931.213969,1000,7410.536648
836.323694,1000,7470.463947
