#{"t_start": 1634605943.5496056, "env_id": "dmc_walker_walk_12368-v1"}
r,l,t
38.762624,1000,41.170768
65.950151,1000,101.168207
130.212631,1000,161.016059
83.184395,1000,221.004519
125.218503,1000,280.739442
227.055611,1000,340.873441
187.873237,1000,400.961714
289.966904,1000,460.897502
342.859787,1000,520.952533
268.855589,1000,580.529678
347.551424,1000,640.271343
405.367806,1000,699.96234
406.513683,1000,760.192754
468.356681,1000,820.119724
432.305278,1000,879.910878
568.382592,1000,939.473177
483.788342,1000,999.179033
659.151793,1000,1058.728928
625.139687,1000,1118.559406
726.013826,1000,1178.172986
758.259477,1000,1238.142018
762.462541,1000,1298.020933
782.776072,1000,1357.913258
842.659004,1000,1417.737496
855.240882,1000,1477.771516
784.749604,1000,1537.668202
802.112423,1000,1597.54977
776.401523,1000,1657.37392
784.214253,1000,1717.423583
850.848124,1000,1777.233405
664.433952,1000,1836.96348
891.344112,1000,1896.895122
836.80987,1000,1956.715521
857.640299,1000,2016.85512
862.872094,1000,2076.98894
775.217151,1000,2136.868491
850.597208,1000,2196.629169
871.148144,1000,2256.503096
860.165113,1000,2316.16092
896.192569,1000,2375.805543
886.594872,1000,2435.9867
920.153713,1000,2495.742933
887.235418,1000,2555.802831
820.934429,1000,2615.754997
848.308044,1000,2675.820246
918.597934,1000,2735.426984
811.144468,1000,2795.10856
724.940913,1000,2855.074234
819.138721,1000,2914.905565
933.534577,1000,2974.482542
955.91841,1000,3034.37879
934.211209,1000,3094.035646
887.819933,1000,3154.042916
798.8116,1000,3214.036328
918.703058,1000,3273.679216
933.68666,1000,3333.716891
920.280145,1000,3393.759549
865.518382,1000,3453.656164
845.292909,1000,3513.71864
900.865849,1000,3573.547397
947.403071,1000,3633.378769
871.081085,1000,3693.531911
863.329409,1000,3753.340153
882.272248,1000,3813.319263
915.310886,1000,3873.360378
841.09343,1000,3933.060635
880.855569,1000,3992.950584
812.794272,1000,4052.580364
950.658211,1000,4112.684083
968.346293,1000,4172.585207
936.283666,1000,4232.748703
861.828047,1000,4292.677678
833.165721,1000,4352.877514
857.002965,1000,4412.530349
945.346682,1000,4472.587401
940.127492,1000,4532.823164
904.329172,1000,4592.832958
925.954313,1000,4652.742659
921.54586,1000,4712.421547
872.485222,1000,4772.031537
906.063856,1000,4832.025221
833.618697,1000,4892.012057
931.273561,1000,4952.149199
827.709793,1000,5012.107774
854.720426,1000,5072.307077
842.794503,1000,5132.082666
896.310785,1000,5192.022028
784.472268,1000,5252.065276
791.667219,1000,5312.18505
914.607107,1000,5372.059483
820.013974,1000,5432.08888
839.077361,1000,5492.248819
909.172475,1000,5552.059295
941.804954,1000,5612.342567
869.402005,1000,5672.286931
879.701347,1000,5732.300848
931.417791,1000,5791.931821
929.757819,1000,5851.534875
940.746981,1000,5911.209242
882.550567,1000,5970.906882
925.836588,1000,6030.537957
888.514395,1000,6090.726902
946.617989,1000,6150.869955
919.914159,1000,6210.722956
890.206513,1000,6270.914471
938.885553,1000,6330.870062
870.901885,1000,6390.701138
738.279609,1000,6450.676198
894.408561,1000,6510.464096
940.89178,1000,6570.381431
944.125703,1000,6630.238506
767.347125,1000,6689.8331
894.495012,1000,6749.747417
874.884342,1000,6809.562794
830.412387,1000,6869.731605
869.708908,1000,6929.477091
847.317823,1000,6989.57406
908.200948,1000,7049.641727
788.759929,1000,7109.924944
716.060142,1000,7169.620197
875.153865,1000,7229.22653
910.134715,1000,7288.889791
908.288499,1000,7348.859351
949.286835,1000,7409.133849
871.025426,1000,7469.060898
