#{"t_start": 1634605944.1471522, "env_id": "dmc_walker_walk_12373-v1"}
r,l,t
105.76656,1000,40.579015
56.22603,1000,100.576323
66.191507,1000,160.424358
100.8151,1000,220.412953
188.586103,1000,280.147924
195.88036,1000,340.281919
170.150265,1000,400.369975
267.704631,1000,460.305786
265.16872,1000,520.360971
377.258274,1000,579.938026
429.914854,1000,639.679665
429.687789,1000,699.370728
354.1044,1000,759.601107
488.6742,1000,819.528134
578.799744,1000,879.319137
616.574066,1000,938.881524
643.97437,1000,998.587448
697.887638,1000,1058.137304
689.815132,1000,1117.96782
614.681057,1000,1177.581393
717.553218,1000,1237.550363
727.036881,1000,1297.429506
738.649083,1000,1357.321739
793.652978,1000,1417.145929
733.372243,1000,1477.179946
775.16629,1000,1537.076833
762.584953,1000,1596.958084
877.334037,1000,1656.782322
728.30883,1000,1716.832007
832.533153,1000,1776.641921
820.290623,1000,1836.37213
907.266801,1000,1896.303487
810.482403,1000,1956.12414
858.038978,1000,2016.263543
805.476484,1000,2076.397564
895.539799,1000,2136.276897
842.263149,1000,2196.044728
928.356521,1000,2255.911543
884.224035,1000,2315.569305
849.473761,1000,2375.214013
747.894363,1000,2435.39515
892.641144,1000,2495.151447
852.70345,1000,2555.211152
883.529044,1000,2615.163515
901.494336,1000,2675.228813
913.578244,1000,2734.835618
879.983269,1000,2794.516989
898.962915,1000,2854.482563
926.084678,1000,2914.313872
852.665847,1000,2973.890897
772.875575,1000,3033.787148
854.377041,1000,3093.4441
848.26586,1000,3153.451358
816.090123,1000,3213.444806
872.096438,1000,3273.08766
782.801566,1000,3333.125542
851.985078,1000,3393.16797
863.687118,1000,3453.064719
889.153894,1000,3513.12712
874.11364,1000,3572.955835
889.769952,1000,3632.787136
888.577342,1000,3692.94035
886.012564,1000,3752.748478
931.065407,1000,3812.727798
946.33116,1000,3872.769059
776.132142,1000,3932.469118
768.000809,1000,3992.359039
815.200119,1000,4051.988778
692.289179,1000,4112.092483
911.56738,1000,4171.99368
907.494137,1000,4232.157497
932.43664,1000,4292.086244
951.068924,1000,4352.285957
941.826696,1000,4411.938786
894.011935,1000,4471.995997
864.747407,1000,4532.231752
891.016741,1000,4592.241427
950.159676,1000,4652.151106
818.321688,1000,4711.83005
892.183873,1000,4771.439886
913.190521,1000,4831.433893
946.817873,1000,4891.4205
924.995724,1000,4951.557749
942.403407,1000,5011.516271
939.38034,1000,5071.715545
878.478445,1000,5131.491177
730.367065,1000,5191.430624
669.827005,1000,5251.473929
648.543508,1000,5311.593713
898.632259,1000,5371.467921
871.60003,1000,5431.49748
949.490877,1000,5491.657383
901.434237,1000,5551.467854
858.817556,1000,5611.750972
852.454892,1000,5671.695275
868.251723,1000,5731.709378
960.997191,1000,5791.340359
937.594477,1000,5850.943341
848.586233,1000,5910.61777
902.822826,1000,5970.315367
909.498647,1000,6029.946336
885.338844,1000,6090.135403
920.931248,1000,6150.27851
934.493654,1000,6210.131354
921.784508,1000,6270.322944
947.468168,1000,6330.278613
936.121366,1000,6390.109695
944.083554,1000,6450.084795
925.368439,1000,6509.872649
911.488341,1000,6569.790086
909.732783,1000,6629.647005
933.026772,1000,6689.241529
915.014324,1000,6749.155815
933.452347,1000,6808.971515
914.577426,1000,6869.140047
926.222807,1000,6928.885643
867.963007,1000,6988.982557
891.867348,1000,7049.050621
850.175372,1000,7109.333618
844.459662,1000,7169.028703
917.588396,1000,7228.634889
947.934954,1000,7288.298211
841.888209,1000,7348.267762
890.306908,1000,7408.54245
817.430749,1000,7468.469483
