#{"t_start": 1634605942.9581394, "env_id": "dmc_walker_walk_12363-v1"}
r,l,t
38.993338,1000,41.756203
70.789486,1000,101.753715
47.703631,1000,161.601453
78.939017,1000,221.590161
178.862043,1000,281.325022
227.508795,1000,341.458987
286.088353,1000,401.547384
274.325494,1000,461.483028
383.267632,1000,521.538247
407.955937,1000,581.115282
328.072423,1000,640.856925
401.340055,1000,700.547813
499.692438,1000,760.77829
445.507977,1000,820.705164
555.724548,1000,880.496271
585.146576,1000,940.058858
514.282793,1000,999.764522
537.182884,1000,1059.314415
575.448416,1000,1119.144935
592.565889,1000,1178.758486
709.579202,1000,1238.72758
693.66369,1000,1298.606434
757.411861,1000,1358.49879
610.135046,1000,1418.323023
764.465289,1000,1478.356962
847.04033,1000,1538.253632
742.903624,1000,1598.135462
778.012802,1000,1657.959452
905.029458,1000,1718.00887
803.783733,1000,1777.818928
722.749552,1000,1837.548785
844.617197,1000,1897.480767
896.568472,1000,1957.301048
882.646525,1000,2017.440543
848.729866,1000,2077.574312
847.171751,1000,2137.454122
919.760239,1000,2197.198941
854.723437,1000,2257.088568
853.89918,1000,2316.746431
859.140194,1000,2376.391038
910.5545,1000,2436.57206
873.904591,1000,2496.328308
933.342487,1000,2556.388317
892.655156,1000,2616.340366
923.383561,1000,2676.405685
787.322001,1000,2736.012498
854.125518,1000,2795.693942
903.256995,1000,2855.659738
925.765198,1000,2915.491071
927.009343,1000,2975.068099
864.692285,1000,3034.964218
906.402947,1000,3094.621076
777.813594,1000,3154.62821
889.126791,1000,3214.621788
894.267317,1000,3274.264623
963.149946,1000,3334.302349
946.940028,1000,3394.344786
936.585422,1000,3454.241489
868.180753,1000,3514.30386
949.935799,1000,3574.132548
795.461393,1000,3633.964285
914.486809,1000,3694.117009
948.938293,1000,3753.925748
867.75311,1000,3813.904403
900.317818,1000,3873.945748
904.983631,1000,3933.646059
886.290276,1000,3993.535475
905.794787,1000,4053.165965
926.559441,1000,4113.269576
879.070554,1000,4173.170812
914.517724,1000,4233.334107
966.778282,1000,4293.263074
946.961315,1000,4353.462824
903.837428,1000,4413.115817
904.649934,1000,4473.17291
964.217042,1000,4533.40854
924.993937,1000,4593.418434
914.84206,1000,4653.328067
970.709143,1000,4713.007069
947.054668,1000,4772.617049
891.081304,1000,4832.610705
843.411725,1000,4892.597286
905.026846,1000,4952.734606
923.21227,1000,5012.693011
877.85398,1000,5072.892516
935.232441,1000,5132.66791
877.287595,1000,5192.60748
944.21918,1000,5252.650657
855.561361,1000,5312.770464
816.582051,1000,5372.644793
729.717335,1000,5432.674323
846.548779,1000,5492.834231
958.198929,1000,5552.644555
880.770678,1000,5612.927884
931.2024,1000,5672.872369
952.114817,1000,5732.886229
948.097528,1000,5792.517281
836.87098,1000,5852.120261
930.553495,1000,5911.794744
950.957303,1000,5971.492299
931.960013,1000,6031.12349
912.157401,1000,6091.312175
783.293889,1000,6151.455452
872.664781,1000,6211.308453
857.204017,1000,6271.499916
952.912647,1000,6331.455509
870.937981,1000,6391.286638
817.986264,1000,6451.26155
885.35376,1000,6511.049623
867.574949,1000,6570.966686
907.760868,1000,6630.823951
917.434426,1000,6690.418501
948.731648,1000,6750.332827
939.22601,1000,6810.147872
953.375656,1000,6870.316925
948.788023,1000,6930.062286
790.702599,1000,6990.159493
861.089641,1000,7050.22709
887.26304,1000,7110.510213
783.942327,1000,7170.205517
813.512308,1000,7229.812042
901.852932,1000,7289.475167
903.623759,1000,7349.444668
969.536905,1000,7409.719201
882.038304,1000,7469.646467
