#{"t_start": 1634605943.7897658, "env_id": "dmc_walker_walk_12370-v1"}
r,l,t
44.118714,1000,40.932914
60.985018,1000,100.930342
165.962252,1000,160.778297
178.044055,1000,220.766752
182.806377,1000,280.501759
125.579099,1000,340.635741
213.351766,1000,400.723869
288.748558,1000,460.659673
261.635916,1000,520.714759
356.999873,1000,580.2919
398.612076,1000,640.033507
367.963228,1000,699.724517
432.125421,1000,759.954993
542.270675,1000,819.882011
532.973541,1000,879.673009
583.108497,1000,939.23542
568.554448,1000,998.941261
568.83996,1000,1058.491196
540.581208,1000,1118.321609
749.086755,1000,1177.935221
668.4509,1000,1237.904258
774.519529,1000,1297.783195
781.571278,1000,1357.675533
753.12903,1000,1417.499729
816.562134,1000,1477.533702
788.274505,1000,1537.430567
753.130306,1000,1597.311983
793.376917,1000,1657.136139
785.767402,1000,1717.18578
862.868211,1000,1776.995677
889.429592,1000,1836.725776
896.149501,1000,1896.657294
847.932488,1000,1956.477874
707.333503,1000,2016.617329
864.878763,1000,2076.751267
836.417171,1000,2136.630755
834.406808,1000,2196.395109
860.404261,1000,2256.265282
860.408648,1000,2315.923144
807.863237,1000,2375.567826
861.823388,1000,2435.748893
754.149812,1000,2495.505146
781.221836,1000,2555.56504
884.72822,1000,2615.517242
814.882386,1000,2675.58256
883.728823,1000,2735.189274
889.157246,1000,2794.870825
849.682961,1000,2854.83643
880.070916,1000,2914.667775
858.156957,1000,2974.244741
863.386955,1000,3034.140999
917.114787,1000,3093.797869
803.845273,1000,3153.805106
914.367763,1000,3213.798601
890.285746,1000,3273.441471
913.94137,1000,3333.479199
921.216721,1000,3393.521791
872.028157,1000,3453.418445
917.910456,1000,3513.480879
891.798507,1000,3573.309579
909.478975,1000,3633.140971
886.563398,1000,3693.29415
956.301643,1000,3753.102355
915.063677,1000,3813.081612
922.141657,1000,3873.122799
948.839651,1000,3932.822925
881.558278,1000,3992.712854
884.454657,1000,4052.342582
949.94805,1000,4112.446326
828.306088,1000,4172.347456
865.635168,1000,4232.511126
887.183218,1000,4292.439972
957.181518,1000,4352.639796
889.714398,1000,4412.292576
914.061575,1000,4472.349603
955.695826,1000,4532.585437
957.72811,1000,4592.595213
920.512325,1000,4652.504883
886.48019,1000,4712.183806
858.456425,1000,4771.79373
821.077897,1000,4831.787509
936.483241,1000,4891.774328
879.750287,1000,4951.911507
850.380908,1000,5011.870009
905.273168,1000,5072.069288
800.646869,1000,5131.844896
944.933421,1000,5191.784349
802.743113,1000,5251.827628
833.959235,1000,5311.94747
939.850842,1000,5371.821695
859.40819,1000,5431.851232
836.726581,1000,5492.011096
921.783859,1000,5551.821552
925.593004,1000,5612.104786
904.629621,1000,5672.049124
932.808916,1000,5732.063152
920.844748,1000,5791.694108
881.392717,1000,5851.297118
839.309203,1000,5910.971468
890.005071,1000,5970.669107
911.602134,1000,6030.300211
882.85332,1000,6090.489151
893.569182,1000,6150.632316
926.373796,1000,6210.485128
897.139681,1000,6270.676671
865.086302,1000,6330.63232
894.189745,1000,6390.463415
731.450975,1000,6450.43851
947.95066,1000,6510.22639
813.209461,1000,6570.143774
931.153784,1000,6630.000722
880.650302,1000,6689.595331
797.470202,1000,6749.509593
925.620792,1000,6809.3251
879.998992,1000,6869.493843
950.343899,1000,6929.239497
920.333255,1000,6989.3363
912.416654,1000,7049.40403
936.499044,1000,7109.687317
832.608006,1000,7169.382481
939.506769,1000,7228.988705
936.585161,1000,7288.65205
888.033952,1000,7348.621579
938.356853,1000,7408.896158
896.355866,1000,7468.823126
