#{"t_start": 1634605941.3102522, "env_id": "dmc_walker_walk_12349-v1"}
r,l,t
45.161087,1000,43.387559
48.23445,1000,103.385286
77.117818,1000,163.23304
153.744765,1000,223.2216
227.270323,1000,282.956216
165.39243,1000,343.090036
274.502064,1000,403.178677
259.380079,1000,463.114567
300.373741,1000,523.169765
430.238715,1000,582.746867
409.939343,1000,642.488231
417.028203,1000,702.178908
398.964204,1000,762.409434
373.990483,1000,822.336398
511.431194,1000,882.127793
522.512527,1000,941.690325
585.480516,1000,1001.395542
627.219712,1000,1060.946103
670.701581,1000,1120.776354
521.402385,1000,1180.389599
706.118962,1000,1240.358947
758.315748,1000,1300.237532
651.66797,1000,1360.129714
751.816336,1000,1419.954245
711.721487,1000,1479.987768
886.379633,1000,1539.883893
799.045214,1000,1599.767135
850.787372,1000,1659.590649
884.95491,1000,1719.640066
833.758146,1000,1779.449928
730.688302,1000,1839.179679
759.628426,1000,1899.112146
870.625727,1000,1958.932049
872.530466,1000,2019.071413
870.489396,1000,2079.20509
833.738025,1000,2139.085582
911.261281,1000,2198.830326
872.818147,1000,2258.719448
776.25926,1000,2318.377601
881.538628,1000,2378.02191
913.228114,1000,2438.202756
898.016292,1000,2497.959291
932.234147,1000,2558.019517
877.596051,1000,2617.97133
924.464391,1000,2678.036523
841.772666,1000,2737.643767
903.480994,1000,2797.325208
843.952549,1000,2857.291049
910.681974,1000,2917.122416
924.495855,1000,2976.699309
889.382699,1000,3036.595393
898.665099,1000,3096.252191
863.543884,1000,3156.259109
852.476979,1000,3216.252628
939.753672,1000,3275.895736
936.71398,1000,3335.933215
954.182171,1000,3395.975381
913.670051,1000,3455.872168
865.157117,1000,3515.934708
915.590947,1000,3575.763286
876.009505,1000,3635.595171
931.73291,1000,3695.747803
912.202658,1000,3755.556957
919.880062,1000,3815.535559
873.594671,1000,3875.57664
950.013655,1000,3935.277228
870.393261,1000,3995.16623
969.165265,1000,4054.797085
877.952253,1000,4114.900599
907.895819,1000,4174.801803
878.624808,1000,4234.965001
872.214703,1000,4294.880747
895.350843,1000,4355.093706
901.365345,1000,4414.746881
923.569178,1000,4474.803841
928.340513,1000,4535.039177
959.648472,1000,4595.049675
959.029989,1000,4654.958877
906.578563,1000,4714.637896
943.391272,1000,4774.24832
924.925598,1000,4834.241714
935.035964,1000,4894.228391
936.864758,1000,4954.365556
915.211309,1000,5014.323963
873.341204,1000,5074.523593
890.178404,1000,5134.299033
923.068841,1000,5194.238634
930.395401,1000,5254.281317
815.255636,1000,5314.40126
845.920748,1000,5374.275631
893.663533,1000,5434.305233
906.718492,1000,5494.465188
881.202345,1000,5554.275293
855.191981,1000,5614.55867
901.403143,1000,5674.503488
902.238382,1000,5734.517169
794.408345,1000,5794.148405
834.677839,1000,5853.751484
847.797805,1000,5913.425509
943.079266,1000,5973.123196
957.997794,1000,6032.754828
900.525431,1000,6092.943178
897.818954,1000,6153.086637
903.682352,1000,6212.939435
847.04344,1000,6273.130898
942.567786,1000,6333.086346
889.107541,1000,6392.917588
832.786443,1000,6452.892284
955.130448,1000,6512.680527
898.911165,1000,6572.597267
821.40124,1000,6632.455085
914.836415,1000,6692.049199
918.920212,1000,6751.963726
952.024512,1000,6811.778224
822.411755,1000,6871.947752
867.904178,1000,6931.693126
927.427722,1000,6991.790223
941.350725,1000,7051.857801
799.102015,1000,7112.140709
784.194472,1000,7171.836327
899.992103,1000,7231.443503
955.366874,1000,7291.106033
814.27675,1000,7351.075585
808.373141,1000,7411.349483
794.392083,1000,7471.277267
