episode_reward,step,true_episode_reward
80.80902125,32000,80.80902125
80.80902125,48000,80.80902125
79.71332284375,64000,79.71332284375
79.71332284375,80000,79.71332284375
88.06152764583334,96000,88.06152764583334
88.06152764583334,112000,88.06152764583334
104.91169848000001,128000,104.91169848000001
104.91169848000001,144000,104.91169848000001
132.47941138999997,160000,132.47941138999997
132.47941138999997,176000,132.47941138999997
162.6534538,192000,162.6534538
162.6534538,208000,162.6534538
202.65484677,224000,202.65484677
202.65484677,240000,202.65484677
245.05987470999997,256000,245.05987470999997
245.05987470999997,272000,245.05987470999997
290.76954789,288000,290.76954789
290.76954789,304000,290.76954789
330.60876992,320000,330.60876992
330.60876992,336000,330.60876992
378.45462776,352000,378.45462776
378.45462776,368000,378.45462776
424.96187838000003,384000,424.96187838000003
424.96187838000003,400000,424.96187838000003
472.4676324200001,416000,472.4676324200001
472.4676324200001,432000,472.4676324200001
512.7114449,448000,512.7114449
512.7114449,464000,512.7114449
548.2297169,480000,548.2297169
548.2297169,496000,548.2297169
581.4683636,512000,581.4683636
581.4683636,528000,581.4683636
609.8075100599999,544000,609.8075100599999
609.8075100599999,560000,609.8075100599999
637.3095475200001,576000,637.3095475200001
637.3095475200001,592000,637.3095475200001
655.00139911,608000,655.00139911
655.00139911,624000,655.00139911
664.1457312999999,640000,664.1457312999999
664.1457312999999,656000,664.1457312999999
682.6530022400001,672000,682.6530022400001
682.6530022400001,688000,682.6530022400001
701.6518450499998,704000,701.6518450499998
701.6518450499998,720000,701.6518450499998
723.22306704,736000,723.22306704
723.22306704,752000,723.22306704
736.2166442099999,768000,736.2166442099999
736.2166442099999,784000,736.2166442099999
745.62845246,800000,745.62845246
745.62845246,816000,745.62845246
751.4150082399999,832000,751.4150082399999
751.4150082399999,848000,751.4150082399999
755.2465782099998,864000,755.2465782099998
755.2465782099998,880000,755.2465782099998
768.89468612,896000,768.89468612
768.89468612,912000,768.89468612
778.5910312300001,928000,778.5910312300001
778.5910312300001,944000,778.5910312300001
792.8536636,960000,792.8536636
792.8536636,976000,792.8536636
793.5584745400001,992000,793.5584745400001
793.5584745400001,1008000,793.5584745400001
801.32738282,1024000,801.32738282
801.32738282,1040000,801.32738282
804.1921553600001,1056000,804.1921553600001
804.1921553600001,1072000,804.1921553600001
818.43451575,1088000,818.43451575
818.43451575,1104000,818.43451575
829.33180889,1120000,829.33180889
829.33180889,1136000,829.33180889
841.4585255100001,1152000,841.4585255100001
841.4585255100001,1168000,841.4585255100001
833.7962474999999,1184000,833.7962474999999
833.7962474999999,1200000,833.7962474999999
834.1361196199999,1216000,834.1361196199999
834.1361196199999,1232000,834.1361196199999
834.4568889699999,1248000,834.4568889699999
834.4568889699999,1264000,834.4568889699999
837.10686628,1280000,837.10686628
837.10686628,1296000,837.10686628
838.2749057400002,1312000,838.2749057400002
838.2749057400002,1328000,838.2749057400002
840.9584516599998,1344000,840.9584516599998
840.9584516599998,1360000,840.9584516599998
843.1070553000001,1376000,843.1070553000001
843.1070553000001,1392000,843.1070553000001
837.1229273000001,1408000,837.1229273000001
837.1229273000001,1424000,837.1229273000001
831.8462008299998,1440000,831.8462008299998
831.8462008299998,1456000,831.8462008299998
826.33374392,1472000,826.33374392
826.33374392,1488000,826.33374392
