#{"t_start": 1634672791.8242872, "env_id": "dmc_walker_walk_6790-v1"}
r,l,t
75.140803,1000,42.81326
69.071312,1000,101.871923
85.304678,1000,161.17046
136.059779,1000,220.56433
174.063599,1000,279.564134
265.506708,1000,339.183862
229.654703,1000,398.682363
276.761625,1000,458.167936
364.498309,1000,517.722072
430.647416,1000,577.038032
454.544288,1000,636.735676
456.339392,1000,696.26888
574.302751,1000,755.566029
544.803471,1000,815.100307
617.66422,1000,874.749255
604.339445,1000,934.408026
618.400024,1000,993.800552
653.368494,1000,1053.430645
657.416424,1000,1112.8074
678.511979,1000,1172.066394
718.580223,1000,1231.597732
729.1456,1000,1290.986918
824.231324,1000,1349.931782
827.464995,1000,1409.302337
777.214705,1000,1469.005418
818.999371,1000,1528.27759
658.529961,1000,1587.638039
740.579443,1000,1647.3912
813.481232,1000,1706.685354
843.95177,1000,1766.385642
796.355767,1000,1825.715091
775.34615,1000,1885.158819
794.384216,1000,1944.505448
836.308823,1000,2004.191473
811.643815,1000,2063.358704
820.363873,1000,2122.764077
693.395538,1000,2182.38826
808.940749,1000,2241.587772
885.757004,1000,2300.659215
861.442071,1000,2360.147371
775.436314,1000,2419.935726
865.012169,1000,2479.336884
836.075181,1000,2538.771895
852.738805,1000,2598.326207
875.431509,1000,2657.54058
886.854862,1000,2716.717485
783.203267,1000,2776.249242
890.986085,1000,2835.794607
773.115849,1000,2895.31311
859.146547,1000,2954.801512
802.728376,1000,3014.415259
786.002999,1000,3073.943057
824.286201,1000,3133.555181
790.312919,1000,3193.018257
747.477205,1000,3252.427259
906.013032,1000,3311.97843
857.815029,1000,3371.615882
732.014134,1000,3431.299289
910.519973,1000,3490.617832
859.106749,1000,3550.109271
869.156369,1000,3609.780364
893.506242,1000,3669.172036
857.177758,1000,3728.80969
907.154814,1000,3788.390097
909.146831,1000,3847.965373
796.641835,1000,3907.510507
845.670336,1000,3966.764423
861.995469,1000,4026.11815
811.550876,1000,4085.276621
854.668788,1000,4144.398175
822.122104,1000,4203.857265
894.904358,1000,4263.746006
794.143458,1000,4323.262229
805.051261,1000,4382.402234
864.088696,1000,4442.072137
894.995763,1000,4501.564238
793.047001,1000,4560.972094
889.569075,1000,4620.592085
827.311459,1000,4679.964532
774.050812,1000,4739.441027
839.389665,1000,4798.789079
808.522369,1000,4858.462808
897.795472,1000,4917.741293
840.975606,1000,4977.722239
840.982243,1000,5037.490995
889.213037,1000,5096.999795
766.394263,1000,5156.653219
897.631158,1000,5216.097857
905.740998,1000,5275.366514
909.781037,1000,5335.057062
895.505539,1000,5394.457295
744.155801,1000,5454.213175
746.556995,1000,5514.182403
718.617537,1000,5573.821741
773.761114,1000,5633.411204
884.631584,1000,5692.956495
803.653243,1000,5752.683645
802.9433,1000,5811.982059
874.66187,1000,5871.211082
842.464653,1000,5930.798321
806.164348,1000,5990.393849
891.218392,1000,6050.025478
870.002579,1000,6109.602108
902.802873,1000,6169.055382
924.291588,1000,6228.213875
827.315506,1000,6287.3836
912.490294,1000,6347.562113
806.552713,1000,6407.409844
802.320591,1000,6466.995303
911.992974,1000,6526.513056
849.668426,1000,6585.839277
860.161558,1000,6645.27789
846.747235,1000,6704.655833
907.926893,1000,6764.091826
885.636974,1000,6823.799044
842.144591,1000,6883.296126
898.79578,1000,6942.6696
832.690276,1000,7002.477001
903.187179,1000,7061.881556
818.882883,1000,7121.340407
876.779236,1000,7180.805882
901.6472,1000,7240.572648
894.252824,1000,7300.616753
865.521628,1000,7359.83347
900.460259,1000,7418.905597
