#{"t_start": 1634620846.533641, "env_id": "dmc_walker_walk_34531-v1"}
r,l,t
53.467792,1000,40.55009
57.097764,1000,99.623195
167.861534,1000,158.830773
130.791437,1000,217.562854
114.193386,1000,276.580074
206.960081,1000,335.616516
311.580979,1000,394.967696
280.166511,1000,453.957335
334.391938,1000,513.189581
394.47934,1000,571.849561
479.823774,1000,630.326973
575.4757,1000,689.208227
512.845928,1000,748.733573
529.202455,1000,807.80767
590.080684,1000,867.001665
645.95369,1000,926.471401
640.761768,1000,985.537823
696.737292,1000,1044.70924
665.567522,1000,1103.94622
796.487593,1000,1163.196338
708.169993,1000,1222.188092
758.350667,1000,1281.456951
752.281909,1000,1340.836494
831.439252,1000,1400.299593
870.483407,1000,1459.777941
870.708467,1000,1519.134119
877.970142,1000,1578.696292
894.066467,1000,1638.075959
783.50876,1000,1697.577337
939.38684,1000,1757.031457
918.437465,1000,1816.241665
857.775895,1000,1875.524222
870.006193,1000,1934.833318
830.526593,1000,1994.090658
912.273733,1000,2053.334525
929.26728,1000,2112.642731
869.561145,1000,2171.988889
851.606199,1000,2231.174938
876.20561,1000,2290.483631
902.646005,1000,2349.830717
941.750684,1000,2409.210692
856.780942,1000,2468.707372
925.362267,1000,2528.212565
897.564814,1000,2587.796976
938.14321,1000,2647.333356
935.731274,1000,2706.755625
902.830436,1000,2766.356443
955.928286,1000,2825.649875
904.103645,1000,2885.057668
951.703575,1000,2944.586778
919.649181,1000,3003.813654
956.111253,1000,3063.284348
901.040368,1000,3122.708703
947.729571,1000,3182.261053
934.710523,1000,3241.489059
915.658458,1000,3301.011317
919.646559,1000,3360.283303
949.046319,1000,3419.568594
898.704247,1000,3478.979553
775.215233,1000,3538.305241
807.029466,1000,3597.805293
834.803055,1000,3657.074407
885.964752,1000,3716.674543
912.316857,1000,3776.004689
942.933963,1000,3835.600459
915.057501,1000,3894.669392
896.607429,1000,3954.255958
904.985773,1000,4013.693593
930.348587,1000,4073.138161
943.013693,1000,4132.439436
926.979758,1000,4191.492467
954.874543,1000,4250.741334
958.964786,1000,4310.135434
878.787015,1000,4369.405185
890.178002,1000,4428.971795
874.295412,1000,4488.103867
861.60208,1000,4546.869043
915.311754,1000,4606.382035
888.798821,1000,4665.66657
876.814838,1000,4724.945411
911.714334,1000,4784.373461
937.229732,1000,4843.652778
888.099176,1000,4902.706422
884.208851,1000,4961.847976
833.12872,1000,5021.501606
871.312381,1000,5080.922665
942.488872,1000,5140.318361
800.905846,1000,5199.674627
915.23108,1000,5259.141021
837.109834,1000,5318.68967
904.557781,1000,5378.131028
925.881801,1000,5437.789413
870.28903,1000,5497.229279
944.662562,1000,5556.739508
874.313171,1000,5616.24531
915.792176,1000,5675.928296
907.46804,1000,5735.074188
841.256589,1000,5794.427391
893.380074,1000,5853.654684
888.446685,1000,5913.070338
876.883396,1000,5972.906898
949.843344,1000,6032.537151
904.901521,1000,6092.174767
941.984453,1000,6151.648895
913.576808,1000,6211.16994
948.149895,1000,6270.557441
947.991469,1000,6329.752611
915.527223,1000,6389.222885
966.282191,1000,6448.863897
912.799635,1000,6508.288605
965.048833,1000,6567.860647
935.668808,1000,6627.064469
944.247226,1000,6686.264753
880.867235,1000,6745.742777
794.405412,1000,6805.039485
937.946296,1000,6864.729407
948.084926,1000,6924.334852
851.146378,1000,6984.001777
933.617124,1000,7043.745469
916.991487,1000,7102.843959
959.227833,1000,7162.453184
915.018935,1000,7221.909467
946.077823,1000,7281.47705
905.338401,1000,7340.732715
921.53142,1000,7399.796646
