#{"t_start": 1634620847.8234475, "env_id": "dmc_walker_walk_34542-v1"}
r,l,t
87.332497,1000,39.273079
71.224988,1000,98.34631
107.038712,1000,157.553794
107.985363,1000,216.285582
242.52289,1000,275.302858
270.790203,1000,334.339556
206.727871,1000,393.690661
263.70886,1000,452.680561
396.164134,1000,511.912258
316.915167,1000,570.572653
413.92219,1000,629.050164
518.949634,1000,687.931161
561.655494,1000,747.457052
655.286733,1000,806.530976
565.794514,1000,865.724916
604.517025,1000,925.194628
704.729164,1000,984.260731
660.086624,1000,1043.432231
774.262312,1000,1102.669814
819.376148,1000,1161.919341
742.170099,1000,1220.911093
723.454899,1000,1280.180001
790.671778,1000,1339.559912
760.057702,1000,1399.022934
819.914166,1000,1458.501321
814.972804,1000,1517.857327
920.792021,1000,1577.419425
824.350394,1000,1636.799409
897.69997,1000,1696.300665
834.614602,1000,1755.754947
902.796728,1000,1814.964903
920.011683,1000,1874.247338
939.720526,1000,1933.556429
902.208969,1000,1992.814232
858.444464,1000,2052.057916
838.509002,1000,2111.36604
885.469671,1000,2170.712149
943.587616,1000,2229.89819
913.988083,1000,2289.206867
951.683686,1000,2348.554231
932.291247,1000,2407.934113
916.403645,1000,2467.430824
924.602039,1000,2526.935936
897.547139,1000,2586.52013
883.066189,1000,2646.056786
958.756233,1000,2705.479145
941.974707,1000,2765.080029
910.962042,1000,2824.373238
919.938071,1000,2883.781193
973.188009,1000,2943.310217
960.459544,1000,3002.536846
855.129187,1000,3062.007738
849.935248,1000,3121.43212
905.098541,1000,3180.984477
933.383981,1000,3240.212389
879.10867,1000,3299.734681
949.2933,1000,3359.006752
951.152927,1000,3418.291959
848.834849,1000,3477.703036
970.493265,1000,3537.02889
931.40357,1000,3596.528895
948.24554,1000,3655.797581
944.78769,1000,3715.398229
949.112707,1000,3774.728057
920.110567,1000,3834.323933
857.473376,1000,3893.393036
796.540623,1000,3952.979584
837.180442,1000,4012.416936
930.944111,1000,4071.861604
907.714798,1000,4131.162563
859.930533,1000,4190.215837
956.346631,1000,4249.464658
857.047109,1000,4308.858852
892.787157,1000,4368.128792
907.564992,1000,4427.695175
951.070519,1000,4486.827374
951.543623,1000,4545.592483
928.493123,1000,4605.105562
907.217856,1000,4664.390037
963.168207,1000,4723.668803
883.761437,1000,4783.09681
889.536765,1000,4842.376459
938.57967,1000,4901.429766
806.711532,1000,4960.571713
943.145818,1000,5020.225327
883.947034,1000,5079.646329
890.481451,1000,5139.04148
961.443356,1000,5198.397967
933.803685,1000,5257.86483
946.521433,1000,5317.413055
754.871497,1000,5376.854779
893.520613,1000,5436.512925
845.500923,1000,5495.952987
892.879904,1000,5555.462775
927.201316,1000,5614.968731
846.916175,1000,5674.651447
881.02839,1000,5733.797541
924.35656,1000,5793.15086
930.300982,1000,5852.378063
872.29928,1000,5911.79373
893.811565,1000,5971.630506
918.536325,1000,6031.260409
920.221669,1000,6090.898378
771.395052,1000,6150.37224
840.461285,1000,6209.89323
954.724433,1000,6269.281079
883.486653,1000,6328.475789
941.818693,1000,6387.94637
922.068648,1000,6447.587385
875.253656,1000,6507.012043
957.548642,1000,6566.584059
923.999947,1000,6625.787975
848.673276,1000,6684.988216
900.485729,1000,6744.466335
857.660562,1000,6803.762718
873.000746,1000,6863.452825
891.653597,1000,6923.058245
887.412089,1000,6982.725371
880.370512,1000,7042.4691
932.063239,1000,7101.567545
926.170567,1000,7161.176955
848.92586,1000,7220.633096
806.898789,1000,7280.20016
925.526036,1000,7339.456098
871.354676,1000,7398.52004
