#{"t_start": 1634635672.4852767, "env_id": "dmc_walker_walk_51239-v1"}
r,l,t
92.271637,1000,41.967232
52.496718,1000,101.315398
129.947927,1000,160.427765
110.226826,1000,219.733714
244.148127,1000,279.055437
152.669326,1000,338.362596
210.807525,1000,398.029495
314.589289,1000,457.500784
279.394485,1000,517.048164
380.778207,1000,576.510126
297.927947,1000,636.006353
530.346599,1000,694.89493
463.779874,1000,754.25565
493.838118,1000,813.603224
561.530395,1000,872.976243
628.121016,1000,932.325037
658.340111,1000,991.661351
564.858435,1000,1050.478886
630.97895,1000,1109.454525
663.624625,1000,1168.70793
671.520703,1000,1227.606151
668.674436,1000,1286.60106
729.657387,1000,1345.863779
782.507712,1000,1405.180436
699.087758,1000,1464.553478
683.702707,1000,1524.217743
750.270283,1000,1583.506926
712.374773,1000,1643.088119
768.090715,1000,1702.239314
693.757731,1000,1761.41267
685.599311,1000,1820.404329
715.21556,1000,1879.833479
795.065924,1000,1939.355751
800.368513,1000,1998.720145
790.707213,1000,2058.29329
774.987002,1000,2117.926086
789.873582,1000,2177.651258
837.184201,1000,2237.072292
771.354022,1000,2296.309255
754.836051,1000,2355.40169
908.610643,1000,2414.828062
849.653843,1000,2474.252753
751.778238,1000,2533.738985
898.024896,1000,2593.269775
810.967783,1000,2652.650591
787.929382,1000,2712.108428
792.422039,1000,2771.453211
855.859894,1000,2830.961437
849.329319,1000,2890.493505
911.154907,1000,2950.047975
921.293726,1000,3009.162513
811.941951,1000,3068.457246
767.9066,1000,3127.793577
857.987081,1000,3187.121574
843.551189,1000,3246.375749
845.824927,1000,3305.276892
825.309628,1000,3364.699612
787.236027,1000,3424.156017
789.683514,1000,3483.849778
818.336787,1000,3543.421175
867.225889,1000,3602.858009
761.836102,1000,3662.269638
894.509263,1000,3721.864094
833.763962,1000,3781.229427
842.411718,1000,3840.689408
873.039502,1000,3900.112444
830.035524,1000,3959.49008
921.071316,1000,4019.030591
861.893492,1000,4078.853981
805.358389,1000,4138.270654
838.774237,1000,4197.921559
815.576406,1000,4257.662486
777.898635,1000,4317.075569
794.395108,1000,4376.382477
757.657894,1000,4435.541486
895.434711,1000,4494.712468
843.893482,1000,4554.500945
843.429904,1000,4614.125019
830.776917,1000,4673.535231
858.228692,1000,4732.770515
820.138385,1000,4792.602068
869.036239,1000,4852.157441
925.891933,1000,4912.272497
760.355036,1000,4971.855629
854.449039,1000,5031.034546
806.981096,1000,5090.459349
896.455306,1000,5150.045173
897.880771,1000,5209.761855
813.673323,1000,5269.872577
886.738388,1000,5329.552747
885.752066,1000,5389.17487
883.290533,1000,5448.431564
898.900745,1000,5507.882789
904.843449,1000,5567.397492
842.527464,1000,5626.753261
923.331331,1000,5686.350719
851.08809,1000,5745.703715
865.755332,1000,5805.071184
752.5048,1000,5864.914063
933.564748,1000,5924.386375
906.593391,1000,5983.544997
796.130697,1000,6043.135377
764.375728,1000,6102.512572
951.215131,1000,6161.898716
897.360721,1000,6221.879063
853.482872,1000,6281.434622
830.25021,1000,6340.865668
846.924038,1000,6400.245832
820.901883,1000,6459.859513
795.366192,1000,6519.562596
868.708389,1000,6579.086966
804.257932,1000,6638.307822
880.281416,1000,6697.90102
866.623732,1000,6757.506567
925.562028,1000,6817.180096
833.700147,1000,6876.387233
842.394318,1000,6935.752997
853.571629,1000,6994.974563
891.697786,1000,7054.314273
862.871376,1000,7114.012543
814.072688,1000,7173.571142
873.343121,1000,7233.473541
865.924512,1000,7293.29718
922.963844,1000,7353.018358
880.335173,1000,7412.633188
