#{"t_start": 1634635674.4898827, "env_id": "dmc_walker_walk_51256-v1"}
r,l,t
90.880372,1000,39.982654
163.847797,1000,99.330518
66.493275,1000,158.442771
139.214365,1000,217.748998
187.779018,1000,277.070852
123.076843,1000,336.378272
246.922108,1000,396.044832
272.421506,1000,455.516222
347.190503,1000,515.063747
386.559642,1000,574.525634
366.710658,1000,634.021589
360.669988,1000,692.909998
511.318771,1000,752.270957
523.124595,1000,811.618861
498.995367,1000,870.991781
528.909812,1000,930.340738
557.655725,1000,989.676774
535.200004,1000,1048.494082
757.940436,1000,1107.469782
669.693188,1000,1166.723255
589.196238,1000,1225.621655
680.686709,1000,1284.616447
709.386148,1000,1343.87979
648.970952,1000,1403.19574
787.207444,1000,1462.569166
720.248823,1000,1522.233436
756.784968,1000,1581.522803
785.613923,1000,1641.103781
760.10805,1000,1700.254634
818.145164,1000,1759.428303
679.590916,1000,1818.419739
759.908361,1000,1877.849277
810.626696,1000,1937.3714
801.914386,1000,1996.735803
786.090274,1000,2056.309301
796.263018,1000,2115.94233
848.398345,1000,2175.667244
850.575826,1000,2235.088154
780.978141,1000,2294.324979
904.28768,1000,2353.41748
867.50947,1000,2412.84408
822.269528,1000,2472.268684
824.595247,1000,2531.754734
821.167875,1000,2591.28549
852.128978,1000,2650.666332
894.823445,1000,2710.124021
778.643833,1000,2769.469011
795.478679,1000,2828.977071
874.10082,1000,2888.509206
869.310078,1000,2948.063839
847.533276,1000,3007.178557
900.307455,1000,3066.472693
885.814161,1000,3125.809983
909.658291,1000,3185.137403
827.200507,1000,3244.39179
881.078158,1000,3303.292418
861.598704,1000,3362.715623
772.564074,1000,3422.172021
831.390341,1000,3481.866353
823.624771,1000,3541.437246
826.739364,1000,3600.873524
883.386186,1000,3660.285414
868.009154,1000,3719.880075
870.649915,1000,3779.245327
836.750484,1000,3838.705048
924.568509,1000,3898.128194
879.884307,1000,3957.506046
814.632874,1000,4017.046398
830.067173,1000,4076.870176
893.322292,1000,4136.286542
877.330715,1000,4195.937395
882.701554,1000,4255.678554
895.06876,1000,4315.091354
818.145633,1000,4374.398513
799.230304,1000,4433.55719
911.525793,1000,4492.728638
794.541802,1000,4552.516963
791.307411,1000,4612.140718
816.874981,1000,4671.55121
803.138737,1000,4730.786297
810.839522,1000,4790.618401
817.419186,1000,4850.173733
913.452392,1000,4910.28835
728.95727,1000,4969.871354
806.190603,1000,5029.050499
930.945167,1000,5088.47526
805.103872,1000,5148.061132
805.992095,1000,5207.778517
816.14349,1000,5267.888175
711.829041,1000,5327.568831
899.581189,1000,5387.190726
811.876264,1000,5446.447314
874.749844,1000,5505.898666
815.418507,1000,5565.413406
767.31334,1000,5624.769141
781.600153,1000,5684.366971
896.587738,1000,5743.719585
874.741751,1000,5803.087018
884.946402,1000,5862.930423
730.673934,1000,5922.401996
872.414238,1000,5981.560835
819.240881,1000,6041.150962
859.346623,1000,6100.528448
898.712113,1000,6159.91468
793.76845,1000,6219.895141
712.89474,1000,6279.450692
794.712672,1000,6338.881576
892.365179,1000,6398.261655
874.068876,1000,6457.875529
774.339871,1000,6517.57939
837.349861,1000,6577.102986
816.536959,1000,6636.323652
806.929152,1000,6695.917277
782.111606,1000,6755.522394
883.429074,1000,6815.195905
925.375866,1000,6874.40314
789.517311,1000,6933.768892
899.604836,1000,6992.990154
828.269969,1000,7052.33039
792.250672,1000,7112.028548
894.204157,1000,7171.587293
847.604097,1000,7231.489541
885.073319,1000,7291.313165
926.06475,1000,7351.034851
869.661897,1000,7410.64909
