#{"t_start": 1634657976.6980393, "env_id": "dmc_walker_walk_89070-v1"}
r,l,t
84.025943,1000,42.440416
52.747086,1000,101.422676
111.097501,1000,160.514588
120.082942,1000,219.428425
256.665366,1000,278.712317
214.145323,1000,337.804647
304.946788,1000,396.702316
334.136105,1000,455.901977
391.837914,1000,514.947904
305.886491,1000,574.211335
433.589853,1000,633.341107
485.224454,1000,692.60897
610.622561,1000,751.723365
541.442593,1000,810.915731
694.948112,1000,870.440687
690.390528,1000,929.650854
718.855731,1000,988.864135
593.826386,1000,1048.075023
727.270855,1000,1107.06214
771.299473,1000,1166.090135
818.530415,1000,1225.014362
742.331561,1000,1284.437383
773.416313,1000,1343.778192
806.378588,1000,1403.329286
765.154342,1000,1462.340269
810.964918,1000,1521.503
836.475647,1000,1580.461086
845.418599,1000,1639.797211
871.989173,1000,1699.061714
865.463305,1000,1758.449886
851.179197,1000,1817.819198
851.723373,1000,1877.018014
906.512234,1000,1936.479975
844.205663,1000,1995.052087
913.36654,1000,2054.399437
879.667591,1000,2113.424818
923.847816,1000,2172.712361
914.830415,1000,2231.837568
920.756103,1000,2291.123744
910.625261,1000,2350.331247
878.87173,1000,2409.72327
919.312523,1000,2468.874837
883.653422,1000,2528.38876
923.476882,1000,2587.701202
943.5449,1000,2647.181234
898.909097,1000,2706.333017
900.894875,1000,2765.508533
900.540894,1000,2824.761997
929.920781,1000,2883.919061
800.238151,1000,2943.296555
897.90422,1000,3002.456484
846.590817,1000,3061.580486
917.819978,1000,3121.05698
895.838434,1000,3180.440835
932.50095,1000,3239.640633
833.700703,1000,3298.572472
860.184547,1000,3357.737871
940.482688,1000,3416.812483
870.782632,1000,3476.213159
920.544189,1000,3535.320561
818.896401,1000,3594.589653
949.202477,1000,3654.02761
935.641959,1000,3713.3844
917.260148,1000,3772.711174
922.050149,1000,3832.24526
885.593497,1000,3891.532555
890.845605,1000,3950.834655
952.027421,1000,4010.312152
890.012854,1000,4069.616894
955.910024,1000,4128.931668
845.142654,1000,4188.066379
811.546203,1000,4247.506506
855.506492,1000,4306.5546
868.706779,1000,4365.65244
925.158815,1000,4424.52309
957.226111,1000,4483.605096
930.101172,1000,4542.628444
940.472505,1000,4601.972203
856.295284,1000,4661.41054
864.196928,1000,4720.482018
885.588846,1000,4779.820729
835.08073,1000,4839.24159
877.092973,1000,4898.677078
880.865881,1000,4957.837527
856.242813,1000,5016.662408
909.626151,1000,5075.732945
910.494339,1000,5135.081431
897.148974,1000,5194.460609
939.529069,1000,5253.327797
906.447518,1000,5312.930299
925.136958,1000,5371.970617
852.207806,1000,5430.970909
975.546057,1000,5490.43024
906.217632,1000,5550.010416
937.492758,1000,5609.194158
925.918486,1000,5668.261205
950.046495,1000,5727.778047
926.016498,1000,5786.856469
930.08673,1000,5846.13667
875.900587,1000,5905.150878
871.895698,1000,5964.451474
817.190586,1000,6023.930938
893.434453,1000,6083.166818
916.314719,1000,6142.578226
834.254247,1000,6201.768089
734.854186,1000,6260.860497
813.214442,1000,6319.744667
953.327074,1000,6378.935467
950.594823,1000,6438.352277
908.098858,1000,6497.940368
909.46467,1000,6556.556551
960.853343,1000,6615.661723
869.259899,1000,6675.083431
959.711192,1000,6734.218327
920.450839,1000,6793.311973
829.623127,1000,6852.523069
872.744368,1000,6911.584788
954.42655,1000,6971.036786
898.475303,1000,7030.493358
825.781456,1000,7089.61843
944.128973,1000,7148.899751
839.401809,1000,7207.960736
909.270872,1000,7267.03575
957.224136,1000,7325.969896
892.677903,1000,7385.098494
