#{"t_start": 1634657979.1746259, "env_id": "dmc_walker_walk_89091-v1"}
r,l,t
98.49908,1000,39.987942
89.419941,1000,98.971148
88.849673,1000,158.062233
86.752021,1000,216.976712
174.032439,1000,276.26037
196.286161,1000,335.352285
237.726749,1000,394.250182
378.117818,1000,453.449951
321.396329,1000,512.495502
459.681649,1000,571.759675
368.130628,1000,630.88933
564.672563,1000,690.157646
506.668522,1000,749.271689
581.216855,1000,808.463843
549.929507,1000,867.989335
672.923374,1000,927.199137
647.969632,1000,986.41228
710.648718,1000,1045.623288
657.695395,1000,1104.61089
709.09212,1000,1163.638519
755.352456,1000,1222.562525
857.025864,1000,1281.986068
719.349853,1000,1341.326379
774.796328,1000,1400.877923
838.505503,1000,1459.8886
842.27311,1000,1519.05195
771.671503,1000,1578.009276
826.476582,1000,1637.346259
837.33211,1000,1696.622984
839.994334,1000,1755.99822
876.363785,1000,1815.367463
939.019199,1000,1874.566729
833.027192,1000,1934.02847
891.300349,1000,1992.600051
907.363553,1000,2051.948102
924.881405,1000,2110.97321
746.219485,1000,2170.260396
894.4481,1000,2229.386555
902.127968,1000,2288.672457
902.799554,1000,2347.87973
856.054626,1000,2407.272088
891.648567,1000,2466.423549
878.852818,1000,2525.937234
892.829264,1000,2585.249983
848.190403,1000,2644.730236
893.594419,1000,2703.882427
948.350558,1000,2763.057399
837.966397,1000,2822.310414
855.468656,1000,2881.467747
950.142073,1000,2940.845502
909.278491,1000,3000.005362
865.638665,1000,3059.129265
922.805965,1000,3118.605754
872.756409,1000,3177.989421
924.384122,1000,3237.189038
925.941796,1000,3296.121201
848.423823,1000,3355.28709
884.046914,1000,3414.361136
890.398311,1000,3473.761913
936.596252,1000,3532.869025
875.335302,1000,3592.138544
854.908259,1000,3651.576475
888.110038,1000,3710.933485
822.720786,1000,3770.260068
936.659932,1000,3829.794355
876.563446,1000,3889.081366
915.031598,1000,3948.383607
786.304097,1000,4007.861398
903.419311,1000,4067.16611
858.369349,1000,4126.479929
948.97963,1000,4185.614872
827.713944,1000,4245.05558
882.691936,1000,4304.103666
932.516724,1000,4363.201194
887.449998,1000,4422.071625
838.799222,1000,4481.153499
895.880039,1000,4540.17672
921.908451,1000,4599.520665
946.322378,1000,4658.95967
877.71411,1000,4718.030298
880.592677,1000,4777.369925
935.048534,1000,4836.790786
917.747898,1000,4896.226191
903.458241,1000,4955.3864
892.72104,1000,5014.211641
919.855745,1000,5073.294535
942.634323,1000,5132.630151
914.103431,1000,5192.009475
875.083152,1000,5250.876244
709.360914,1000,5310.479143
946.593031,1000,5369.519448
948.997464,1000,5428.519324
907.236545,1000,5487.979337
958.404513,1000,5547.559794
945.543195,1000,5606.743215
938.984727,1000,5665.810009
843.06304,1000,5725.32654
893.815179,1000,5784.405404
954.648545,1000,5843.685535
864.979266,1000,5902.699387
823.63305,1000,5961.999838
852.666978,1000,6021.479949
858.678669,1000,6080.715503
933.425416,1000,6140.12713
904.157715,1000,6199.316503
838.676525,1000,6258.409004
816.505418,1000,6317.293783
907.828861,1000,6376.483999
955.575122,1000,6435.901305
952.331454,1000,6495.489321
879.036173,1000,6554.105201
910.55357,1000,6613.21061
856.478153,1000,6672.632494
897.017615,1000,6731.767056
906.066473,1000,6790.860601
934.439825,1000,6850.071865
885.091369,1000,6909.133387
959.237831,1000,6968.586017
911.928661,1000,7028.042504
893.584441,1000,7087.167017
937.226044,1000,7146.448461
876.063007,1000,7205.509036
925.780288,1000,7264.584494
956.536942,1000,7323.518449
870.6112,1000,7382.647034
