#{"t_start": 1634628269.1898744, "env_id": "dmc_walker_walk_45125-v1"}
r,l,t
126.194302,1000,42.475934
59.449671,1000,101.572344
73.617732,1000,160.660856
171.904076,1000,219.574299
146.823979,1000,278.75459
136.621666,1000,337.95239
254.926519,1000,397.107768
299.672816,1000,456.385124
244.264063,1000,515.694066
294.37596,1000,574.681517
436.336596,1000,633.362497
362.879675,1000,692.576573
471.474362,1000,751.466506
506.113306,1000,810.436339
563.531667,1000,869.841949
587.866284,1000,928.956539
678.60572,1000,987.969669
694.894278,1000,1047.048409
693.04143,1000,1106.238714
729.939803,1000,1165.116312
788.538579,1000,1224.513951
757.742733,1000,1283.919649
729.870717,1000,1342.96319
734.921953,1000,1402.136975
736.867398,1000,1461.022743
794.653204,1000,1520.161249
818.74751,1000,1579.339491
767.381409,1000,1638.404407
677.372507,1000,1697.452797
784.766294,1000,1756.608417
720.516862,1000,1815.76358
778.167823,1000,1874.856417
812.459174,1000,1933.768914
872.36789,1000,1992.899897
836.835982,1000,2051.785372
784.477112,1000,2110.872176
865.337146,1000,2170.162931
914.748159,1000,2229.287865
911.768832,1000,2288.435172
861.398836,1000,2347.818397
854.528649,1000,2406.959191
895.397079,1000,2465.904299
909.136158,1000,2524.82932
913.526177,1000,2583.711467
762.32369,1000,2642.489929
859.910624,1000,2701.53511
841.256154,1000,2760.857481
933.396217,1000,2819.864167
871.583668,1000,2879.004134
874.743274,1000,2938.206497
899.243931,1000,2997.414216
839.191989,1000,3056.643538
796.216549,1000,3115.219581
902.119131,1000,3174.168229
812.403778,1000,3233.540272
850.503487,1000,3292.243611
848.541349,1000,3351.618873
853.744637,1000,3410.742541
909.005303,1000,3470.001201
862.988962,1000,3529.227205
842.934652,1000,3588.273162
688.237958,1000,3647.456346
864.851353,1000,3706.73369
826.522711,1000,3765.622396
846.966,1000,3824.514062
896.406936,1000,3883.520868
830.80389,1000,3942.449417
912.47638,1000,4001.825252
866.294682,1000,4061.518859
897.892952,1000,4120.822526
908.532504,1000,4180.091882
630.943706,1000,4239.325943
872.07321,1000,4298.694323
872.880804,1000,4358.341423
817.667155,1000,4417.812883
845.77461,1000,4477.364593
924.036404,1000,4536.288324
849.426747,1000,4595.561775
873.436896,1000,4654.926514
742.742291,1000,4714.244793
755.70058,1000,4773.044495
875.001853,1000,4832.036879
809.818866,1000,4891.534248
848.048139,1000,4950.735189
801.750626,1000,5010.018909
803.577328,1000,5069.253674
864.14169,1000,5128.010506
917.490512,1000,5187.25735
822.127082,1000,5246.36156
910.388582,1000,5305.460171
866.077622,1000,5364.70043
872.253395,1000,5423.8807
919.422757,1000,5483.176334
851.444305,1000,5542.397113
863.612577,1000,5601.579149
821.410193,1000,5660.773611
774.856911,1000,5720.098808
790.567315,1000,5779.204031
812.510453,1000,5838.471725
834.243583,1000,5897.873149
907.123023,1000,5956.938365
884.15875,1000,6016.257686
883.128869,1000,6075.663522
898.362311,1000,6135.042306
870.492004,1000,6194.758118
870.379064,1000,6253.891587
854.42067,1000,6313.227906
879.702452,1000,6372.314991
901.918593,1000,6431.688951
911.561552,1000,6491.074037
731.903292,1000,6550.40556
914.853905,1000,6609.710937
792.77486,1000,6668.705678
876.312036,1000,6728.154701
884.447329,1000,6787.315687
785.91434,1000,6846.524183
844.796795,1000,6905.814968
925.605877,1000,6965.308023
826.580538,1000,7024.632339
823.318307,1000,7083.981426
924.878689,1000,7143.103387
903.979739,1000,7202.359662
866.851699,1000,7261.726148
846.710532,1000,7321.056294
884.140828,1000,7380.474022
