#{"t_start": 1634628270.8339164, "env_id": "dmc_walker_walk_45139-v1"}
r,l,t
43.943095,1000,40.848836
92.741833,1000,99.944678
139.628137,1000,159.033003
173.600725,1000,217.946546
144.36191,1000,277.127451
143.762831,1000,336.325147
147.314549,1000,395.480366
234.887524,1000,454.757916
297.872344,1000,514.066551
384.740933,1000,573.054071
418.785861,1000,631.735338
440.297158,1000,690.949107
509.262432,1000,749.838918
479.726737,1000,808.809054
478.345078,1000,868.214289
576.332402,1000,927.328845
600.117258,1000,986.342254
704.953017,1000,1045.420807
625.888229,1000,1104.611044
753.720475,1000,1163.488652
704.387962,1000,1222.887017
774.575068,1000,1282.292199
727.618625,1000,1341.335368
770.500549,1000,1400.509529
847.169976,1000,1459.395295
800.852513,1000,1518.534104
824.064461,1000,1577.712457
801.392711,1000,1636.777128
847.206838,1000,1695.825514
783.835037,1000,1754.981102
755.305485,1000,1814.136096
861.717619,1000,1873.228982
753.274265,1000,1932.141477
856.038152,1000,1991.272277
821.964925,1000,2050.158051
814.864343,1000,2109.245114
637.790307,1000,2168.536017
759.111949,1000,2227.660228
776.171,1000,2286.80833
869.366004,1000,2346.191414
866.151424,1000,2405.331769
889.319013,1000,2464.277367
860.730371,1000,2523.202101
869.71609,1000,2582.084287
754.809458,1000,2640.862384
877.648796,1000,2699.907826
910.144726,1000,2759.230155
767.625038,1000,2818.236596
838.76596,1000,2877.377457
858.367872,1000,2936.579332
837.179443,1000,2995.786759
865.262089,1000,3055.016146
904.597866,1000,3113.592281
719.082522,1000,3172.54126
804.578363,1000,3231.913157
855.575706,1000,3290.616334
824.902212,1000,3349.992276
829.844718,1000,3409.115266
764.504098,1000,3468.374164
889.134651,1000,3527.600189
932.680876,1000,3586.645646
896.173399,1000,3645.829009
872.423402,1000,3705.106775
897.568929,1000,3763.995001
813.777346,1000,3822.887061
908.95095,1000,3881.893537
741.741934,1000,3940.822242
888.213482,1000,4000.198467
898.953741,1000,4059.891894
830.402102,1000,4119.195907
820.536101,1000,4178.465157
719.992661,1000,4237.698869
775.52416,1000,4297.067216
911.196053,1000,4356.714796
851.969911,1000,4416.185572
860.54387,1000,4475.737503
805.218992,1000,4534.661005
840.820503,1000,4593.934625
916.865883,1000,4653.299501
930.612308,1000,4712.617933
910.173398,1000,4771.417357
861.552274,1000,4830.40967
793.369266,1000,4889.907202
740.152726,1000,4949.108155
788.862829,1000,5008.392085
904.967592,1000,5067.626586
735.964586,1000,5126.383129
921.883876,1000,5185.630164
896.88741,1000,5244.734459
879.343657,1000,5303.833213
871.385541,1000,5363.073426
892.142923,1000,5422.253232
905.016191,1000,5481.549242
879.3326,1000,5540.770215
880.723144,1000,5599.951835
740.598482,1000,5659.146372
776.656692,1000,5718.471632
874.619553,1000,5777.576805
817.629147,1000,5836.844744
703.421921,1000,5896.24652
16.504551,1000,5955.311352
869.434555,1000,6014.630978
779.315989,1000,6074.036547
888.913519,1000,6133.415258
17.197009,1000,6193.131048
788.881159,1000,6252.264599
745.968055,1000,6311.60105
887.565845,1000,6370.700903
807.167177,1000,6430.062138
932.781554,1000,6489.44675
894.24336,1000,6548.778572
876.145493,1000,6608.083937
868.175575,1000,6667.078762
880.190895,1000,6726.527839
760.579951,1000,6785.688305
849.516611,1000,6844.896874
895.999381,1000,6904.188198
886.313846,1000,6963.680932
827.134559,1000,7023.006066
897.525381,1000,7082.354515
907.968635,1000,7141.47674
809.40892,1000,7200.732522
918.319259,1000,7260.098961
875.654897,1000,7319.429159
800.430088,1000,7378.847153
